condition,episode,rso,uncertainty_km
correct,2,70,0.5205816030502319
correct,2,71,0.13628610968589783
correct,2,72,0.1525784134864807
correct,2,73,1.197713017463684
correct,2,74,0.5145285129547119
correct,2,75,0.21627014875411987
correct,2,76,0.14676445722579956
correct,2,77,0.21599262952804565
correct,2,78,0.28379228711128235
correct,2,79,0.3119547665119171
correct,2,80,0.086811862885952
correct,2,81,0.4226425588130951
correct,2,82,0.13252028822898865
correct,2,83,0.17071734368801117
correct,2,84,0.6336397528648376
correct,2,85,0.22337386012077332
correct,2,86,0.33104392886161804
correct,2,87,0.34406715631484985
correct,2,88,0.9268558621406555
correct,2,89,0.09553149342536926
correct,2,90,0.6176761984825134
correct,2,91,0.3088544011116028
correct,2,92,0.6159140467643738
correct,2,93,1.5290786027908325
correct,2,94,0.3165714144706726
correct,2,95,1.0164463520050049
correct,2,96,0.05999999865889549
correct,2,97,0.223968043923378
correct,2,98,0.3851194977760315
correct,2,99,0.4690697193145752
correct,2,100,0.2487492859363556
correct,2,101,0.25766441226005554
correct,2,102,0.8289905786514282
correct,2,103,0.6352416276931763
correct,2,104,1.1067280769348145
correct,2,105,0.602426290512085
correct,2,106,0.36488956212997437
correct,2,107,0.13868995010852814
correct,2,108,0.6582236289978027
correct,2,109,0.2474776953458786
correct,2,110,0.2283027619123459
correct,2,111,0.29410409927368164
correct,2,112,0.8223164081573486
correct,2,113,0.7338618636131287
correct,2,114,0.3993935286998749
correct,2,115,0.6254094839096069
correct,2,116,0.33524444699287415
correct,2,117,0.5616176724433899
correct,2,118,1.1411908864974976
correct,2,119,0.05999999865889549
correct,2,120,0.08691340684890747
correct,2,121,2.5066423416137695
correct,2,122,0.27989307045936584
correct,2,123,1.457444190979004
correct,2,124,0.07128868997097015
correct,2,125,0.4660463333129883
correct,2,126,0.7071540355682373
correct,2,127,0.5917240381240845
correct,2,128,0.39147597551345825
correct,2,129,0.9900528192520142
correct,2,130,0.22366827726364136
correct,2,131,0.20957377552986145
correct,2,132,0.973369300365448
correct,2,133,0.6850882768630981
correct,2,134,0.6131892800331116
correct,2,135,0.31070676445961
correct,2,136,1.0050740242004395
correct,2,137,0.29623666405677795
correct,2,138,0.9795832633972168
correct,2,139,0.7966198921203613
correct,2,140,0.2524343729019165
correct,2,141,0.9832525253295898
correct,2,142,0.202841117978096
correct,2,143,0.45771485567092896
correct,2,144,0.25087714195251465
correct,2,145,1.880656123161316
correct,2,146,0.49257299304008484
correct,2,147,0.5342951416969299
correct,2,148,0.07900604605674744
correct,2,149,0.5615501403808594
correct,2,150,1.0083948373794556
correct,2,151,0.5699387788772583
correct,2,152,0.3556729853153229
correct,2,153,0.5874942541122437
correct,2,154,1.1208686828613281
correct,2,155,0.3383232653141022
correct,2,156,0.29637300968170166
correct,2,157,0.05999999865889549
correct,2,158,0.23715755343437195
correct,2,159,0.5436428785324097
correct,2,160,0.2392151802778244
correct,2,161,0.05999999865889549
correct,2,162,0.7952618598937988
correct,2,163,0.07436611503362656
correct,2,164,0.5911242365837097
correct,2,165,0.42077261209487915
correct,2,166,0.2963002324104309
correct,2,167,0.7582951784133911
correct,2,168,0.7269164323806763
correct,2,169,0.5691119432449341
correct,2,170,0.5994029641151428
correct,2,171,0.29579269886016846
correct,2,172,0.17700546979904175
correct,2,173,0.8362151384353638
correct,2,174,0.5545883774757385
correct,2,175,0.2732886075973511
correct,2,176,0.8286081552505493
correct,2,177,0.3123043179512024
correct,2,178,0.8831008672714233
correct,2,179,0.19254042208194733
correct,2,180,0.20876260101795197
correct,2,181,0.13643740117549896
correct,2,182,0.716784656047821
correct,2,183,0.13080601394176483
correct,2,184,0.3719819188117981
correct,2,185,0.328693151473999
correct,2,186,1.7470660209655762
correct,2,187,0.2398708462715149
correct,2,188,0.926101565361023
correct,2,189,0.05999999865889549
