condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,48,632.3944992315573,60.76321792602539,119.23492733018894,185.61146993290825,2,0.5384615384615384,3,13
correct,0,49,652.3280929815573,78.97154998779297,100.93460974490056,178.79712681926355,2,0.7142857142857143,2,7
correct,0,50,769.4833263960041,76.56597900390625,103.34772187598146,7.238895365488391,3,0.9827586206896551,2,58
correct,0,51,735.9138223616803,32.02392578125,32.06971041762839,167.50977524217026,2,0.8333333333333334,2,12
correct,0,52,716.8963723104508,65.21167755126953,65.21984386059711,186.78749139482403,3,0.41379310344827586,4,29
correct,0,53,673.2447489754098,46.31211853027344,133.6874578455609,176.96559934523484,2,0.6666666666666666,2,21
correct,0,54,745.6204293673155,69.33782958984375,69.52611931392454,355.88296213708503,2,0.8125,3,16
correct,0,55,670.7758068647541,64.00431060791016,115.99245906379748,8.405992746496958,1,0.463768115942029,3,69
correct,0,56,760.9655961834017,13.693480491638184,13.729678389137804,158.4262131207733,0,0.76,3,50
correct,0,57,690.7386654713115,54.32771682739258,125.65376143611871,8.758594144214696,0,0.7413793103448276,2,58
correct,0,58,679.7914718878073,16.2949161529541,163.69943120081453,19.109973501129158,0,0.6375,4,80
correct,0,59,708.3983414446722,77.48503112792969,102.37146264786924,358.83559884380196,1,0.8125,4,32
correct,0,60,633.496349897541,28.24854850769043,151.74762357934358,168.81625141738704,1,0.5,4,54
correct,0,61,738.389832543545,42.759552001953125,137.20784577438363,353.12105364088404,0,0.9302325581395349,2,43
correct,0,62,769.8516585553278,30.67055320739746,149.06993295809153,14.00202167354288,1,0.5813953488372093,2,43
correct,0,63,701.7374967981557,72.10315704345703,72.13413939161383,1.96347070341563,0,0.46153846153846156,3,13
correct,0,64,646.7172531378073,20.458200454711914,20.458218585238743,0.5484320451164977,1,0.7941176470588235,3,34
correct,0,65,703.7298684042008,65.151611328125,114.83966045416327,3.491993577095796,0,0.8,4,30
correct,0,66,639.2305007684427,18.636857986450195,18.63763498609966,356.72081086238217,3,0.5833333333333334,3,12
correct,0,67,701.2662893826845,42.52431869506836,137.46722878957593,5.410113266870511,2,0.7647058823529411,2,34
correct,0,68,655.3113073130123,38.61928939819336,141.37723631600178,356.5701608833429,0,0.6111111111111112,2,18
correct,0,69,760.1874359631148,28.654584884643555,151.25845881713738,357.4797527490577,2,1.0,1,25
