top_k,step,hours,mean_uncertainty,ci95,n_episodes
30,550,0.7638888888888888,17.87019411722819,0.0581290563846314,48
30,600,0.8333333333333334,19.121984163920086,0.06797863075432811,48
30,650,0.9027777777777778,19.7632573445638,0.08415273423919947,48
30,700,0.9722222222222222,19.343886375427246,0.10420403405854481,48
30,750,1.0416666666666667,17.58974011739095,0.12366546342041006,48
30,800,1.1111111111111112,14.730287869771322,0.12422201422518751,48
30,850,1.1805555555555556,11.586477597554525,0.13317357849056455,48
30,900,1.25,8.614897886912027,0.13662159704187016,48
30,950,1.3194444444444444,6.004238923390706,0.12374659096054587,48
30,1000,1.3888888888888888,4.170066436131795,0.10708721525662034,48
30,1050,1.4583333333333333,3.8134148120880127,0.08659363146866664,48
30,1100,1.5277777777777777,3.903550942738851,0.09237240017210832,48
30,1150,1.5972222222222223,3.849538803100586,0.09144104184320402,48
30,1200,1.6666666666666667,3.4673279921213784,0.08807342787333977,48
30,1250,1.7361111111111112,3.0294349988301597,0.0803120969494527,48
30,1300,1.8055555555555556,2.618567109107971,0.06323983830425917,48
30,1350,1.875,2.4107676347096763,0.061718449518394385,48
