num_rso,num_sensors,rso_per_sensor,episode,target_reached,recovery_time_h,censored_time_h,initial_mean_u_km,final_mean_u_km
5000,15,333.3333333333333,1,1,1.0416666666666667,1.0416666666666667,19.92640686035156,0.1396330595016479
5000,15,333.3333333333333,2,1,1.0416666666666667,1.0416666666666667,19.840547561645508,0.1162522435188293
5000,15,333.3333333333333,3,1,1.0416666666666667,1.0416666666666667,20.06141662597656,0.1325334906578064
5000,15,333.3333333333333,4,1,1.0416666666666667,1.0416666666666667,20.08378791809082,0.1403567939996719
5000,15,333.3333333333333,5,1,1.0416666666666667,1.0416666666666667,19.90447425842285,0.1184089630842208
5000,18,277.77777777777777,0,1,0.875,0.875,19.773012161254883,0.0963292568922042
5000,18,277.77777777777777,1,1,0.875,0.875,19.92640686035156,0.096218504011631
5000,18,277.77777777777777,2,1,0.875,0.875,19.840547561645508,0.0961373448371887
5000,18,277.77777777777777,3,1,0.875,0.875,20.06141662597656,0.101524218916893
5000,18,277.77777777777777,4,1,0.875,0.875,20.08378791809082,0.0963048487901687
5000,18,277.77777777777777,5,1,0.875,0.875,19.90447425842285,0.0962375998497009
7500,12,625.0,0,0,,5.0,19.851825714111328,14.415860176086426
7500,12,625.0,1,0,,5.0,19.93484878540039,13.855642318725586
7500,12,625.0,2,0,,5.0,19.937164306640625,14.18563747406006
7500,12,625.0,3,0,,5.0,20.00911521911621,13.958683967590332
7500,12,625.0,4,0,,5.0,20.02781867980957,14.03093147277832
7500,12,625.0,5,0,,5.0,19.88616752624512,14.209891319274902
7500,15,500.0,0,0,,5.0,19.97681999206543,4.714295864105225
7500,15,500.0,1,0,,5.0,19.927534103393555,4.749673843383789
7500,18,416.6666666666667,0,1,1.75,1.75,19.97681999206543,0.7320141792297363
7500,18,416.6666666666667,1,1,1.7916666666666667,1.7916666666666667,19.927534103393555,0.7071001529693604
10000,18,555.5555555555555,0,0,,5.0,19.96227264404297,9.457391738891602
10000,18,555.5555555555555,1,0,,5.0,19.93337821960449,9.180453300476074
10000,24,416.6666666666667,0,1,1.6666666666666667,1.6666666666666667,19.96227264404297,0.5841144919395447
10000,24,416.6666666666667,1,1,1.6666666666666667,1.6666666666666667,19.93337821960449,0.5569355487823486
15000,30,500.0,0,0,,5.0,19.91411590576172,4.9190449714660645
15000,30,500.0,1,0,,5.0,19.973691940307617,4.73593807220459
15000,36,416.6666666666667,0,1,1.7916666666666667,1.7916666666666667,19.91411590576172,0.6286962032318115
15000,36,416.6666666666667,1,1,1.7916666666666667,1.7916666666666667,19.973691940307617,0.6902192234992981
20000,12,1666.6666666666667,0,0,,5.0,19.948650360107425,42.16896057128906
20000,12,1666.6666666666667,1,0,,5.0,19.981426239013672,42.40999221801758
20000,42,476.1904761904762,0,0,,5.0,19.948650360107425,4.063488006591797
20000,42,476.1904761904762,1,0,,5.0,19.981426239013672,4.022895812988281
2000,9,222.22222222222223,0,1,0.8333333333333334,0.8333333333333334,19.955968856811523,0.1208302974700927
2000,9,222.22222222222223,1,1,0.9166666666666666,0.9166666666666666,20.10230255126953,0.2000307440757751
2000,9,222.22222222222223,2,1,0.7916666666666666,0.7916666666666666,20.0376091003418,0.1713880002498626
2000,9,222.22222222222223,3,1,0.875,0.875,19.870628356933597,0.1434878855943679
20000,48,416.6666666666667,0,1,1.9166666666666667,1.9166666666666667,19.948650360107425,0.9459989070892334
20000,48,416.6666666666667,1,1,1.9166666666666667,1.9166666666666667,19.981426239013672,0.9281083941459656
20000,48,416.6666666666667,2,1,1.9166666666666667,1.9166666666666667,19.959041595458984,0.8936253190040588
20000,48,416.6666666666667,3,1,1.9166666666666667,1.9166666666666667,19.877965927124023,0.8735470771789551
