family,family_label,x_label,x_value,point_label,is_id,method,method_label,num_rso,n,mean_uncertainty_mean,mean_uncertainty_std,mean_uncertainty_ci95,max_uncertainty_mean,max_uncertainty_std,max_uncertainty_ci95,p95_uncertainty_mean,p95_uncertainty_std,p95_uncertainty_ci95,fine_custody_mean,fine_custody_std,fine_custody_ci95
inclination_shift,Inclination shift,Shift of training band (deg),20.0,55-105,0,pointer_lstm,Attention-LSTM pointer,30,24,0.46305687228838605,0.11576040602147518,0.04631380810443653,1.5739149376749992,1.073035350943027,0.42930355067718645,1.0152358981470262,0.5549719884850242,0.22203503824325496,0.1791666666666667,0.053669682154906556,0.02147234486968991
inclination_shift,Inclination shift,Shift of training band (deg),30.0,65-115,0,expected_info_gain,Expected information gain,30,24,0.7296107771495978,0.38527966663819296,0.15414396995041874,3.61765605956316,4.76961670680628,1.9082441093871134,1.7583559642235425,1.5239737000638869,0.6097164646077105,0.1277777777777778,0.04979830494628657,0.019923471405073237
inclination_shift,Inclination shift,Shift of training band (deg),30.0,65-115,0,flat_lstm,Flat LSTM,30,24,0.7648726950089136,0.1421851918719107,0.05688592428076422,3.469959929585457,1.2478802128700257,0.4992560643357121,2.195445978393156,0.6387562048711686,0.25555570608860284,0.17500000000000002,0.05494837278298225,0.021983927667375093
inclination_shift,Inclination shift,Shift of training band (deg),30.0,65-115,0,pointer_lstm,Attention-LSTM pointer,30,24,0.5932156418760618,0.14383959695306078,0.05754782416595619,2.6484214464823403,2.611927402262988,1.044988598853792,1.3182802050064,0.5456383182494665,0.2183007924241835,0.1486111111111111,0.051055683030650445,0.020426527409413347
inclination_shift,Inclination shift,Shift of training band (deg),40.0,75-125,0,expected_info_gain,Expected information gain,30,24,0.8658483102917671,0.8308989281326364,0.33242880561923693,7.6579443116982775,20.14729259694301,8.060595804973683,1.7923975472648925,1.2433194381761707,0.49743137443319413,0.11805555555555554,0.05010054303336767,0.020044391823789882
inclination_shift,Inclination shift,Shift of training band (deg),40.0,75-125,0,flat_lstm,Flat LSTM,30,24,1.0238090058167775,0.6648224547847535,0.2659843780153072,4.974427243073781,3.8077978199984996,1.5234364114374839,3.270719827463228,2.83765851006981,1.135299850943108,0.18194444444444444,0.05977345852973103,0.0239143640146778
inclination_shift,Inclination shift,Shift of training band (deg),40.0,75-125,0,pointer_lstm,Attention-LSTM pointer,30,24,0.7019523891309897,0.10824666868300625,0.04330768708948057,2.3478974799315133,0.7336863989101078,0.2935356937298066,1.6743231361110997,0.47189600001432824,0.1887977205769329,0.11666666666666668,0.04504426164614508,0.01802145795600077
inclination_shift,Inclination shift,Shift of training band (deg),50.0,85-135,0,expected_info_gain,Expected information gain,30,24,0.7998195526500543,0.5155324388273891,0.20625593209334872,5.32738363246123,10.728050382072917,4.292114063921632,1.8327530515690633,1.1104265337566295,0.44426313941002,0.09583333333333334,0.055003293709018734,0.022005900614056877
inclination_shift,Inclination shift,Shift of training band (deg),50.0,85-135,0,flat_lstm,Flat LSTM,30,24,0.8987812424699465,0.33180803651654617,0.13275086239665002,4.531367888053258,3.206519452884927,1.282874963279805,2.8475391348203005,2.20774017665323,0.8832800298489267,0.15972222222222224,0.05010054303336767,0.020044391823789882
inclination_shift,Inclination shift,Shift of training band (deg),50.0,85-135,0,pointer_lstm,Attention-LSTM pointer,30,24,0.8700621748963991,0.16905331836840995,0.06763541365672361,3.621352975567182,2.074727178854507,0.8300637474673406,1.974714754646022,0.6608411865967063,0.2643915390022918,0.08194444444444444,0.05644814358908346,0.022583960957699954
inclination_shift,Inclination shift,Shift of training band (deg),60.0,95-145,0,expected_info_gain,Expected information gain,30,24,0.8509546878437201,0.5530741662004983,0.2212757511940583,6.022130161523819,10.824612243819923,4.33074685460421,2.030908084039886,1.4187383182781486,0.5676135431915776,0.12916666666666668,0.05230207688397098,0.02092518880607887
inclination_shift,Inclination shift,Shift of training band (deg),60.0,95-145,0,flat_lstm,Flat LSTM,30,24,0.9754598463575045,0.43185989662420216,0.1727799432263965,4.205377285679181,2.812805679526136,1.1253566478721178,3.124036321789024,2.3619166491907717,0.944963465565263,0.13055555555555556,0.04160623637138967,0.016645961373830127
inclination_shift,Inclination shift,Shift of training band (deg),60.0,95-145,0,pointer_lstm,Attention-LSTM pointer,30,24,1.0062142585714657,0.20486191713862512,0.0819618369039334,4.141456713279088,2.5398797171198337,1.016163521448052,2.2905253067612636,0.6401821657807051,0.2561262092701177,0.05833333333333334,0.04636548774796055,0.01855005848743552
eccentricity,Eccentricity,Maximum eccentricity,0.005,0.005,1,expected_info_gain,Expected information gain,30,24,0.8927190415561199,0.7458500213692818,0.2984021562431161,5.932980641722679,11.325777155996525,4.531254578868049,2.5921143741657295,3.5535968216875338,1.4217348309027178,0.1277777777777778,0.059520358768160156,0.02381310302059924
eccentricity,Eccentricity,Maximum eccentricity,0.005,0.005,1,flat_lstm,Flat LSTM,30,24,0.7902335512141386,0.25002438806204147,0.10003058842058987,3.721453512708346,2.2676454420057097,0.9072471275754621,2.450984405229487,1.0961536603546733,0.4385528007669914,0.15416666666666665,0.0459073841849578,0.01836677889091327
eccentricity,Eccentricity,Maximum eccentricity,0.005,0.005,1,pointer_lstm,Attention-LSTM pointer,30,24,0.4133576961855094,0.07142968176044512,0.02857782455773791,1.4396820863087971,0.6849499626650326,0.27403705828506064,0.9408277392387383,0.295762105186387,0.11832948634980903,0.21944444444444444,0.06363897771572145,0.025460893782124936
eccentricity,Eccentricity,Maximum eccentricity,0.01,0.010,0,expected_info_gain,Expected information gain,30,24,0.8101730446020762,0.5799542243187278,0.23203001421290803,4.13252155482769,5.6026794742386645,2.2415386310274115,2.3426995222767175,3.030223680353161,1.2123419644827473,0.1277777777777778,0.04468533750665576,0.017877858392975093
eccentricity,Eccentricity,Maximum eccentricity,0.01,0.010,0,flat_lstm,Flat LSTM,30,24,0.7166571592291197,0.11996170731839051,0.04799467869518203,3.3105327785015106,1.355745001723156,0.5424109676732375,2.0322147394220025,0.5244932641701742,0.20984100888813922,0.1625,0.049453535504684024,0.019785534900637582
eccentricity,Eccentricity,Maximum eccentricity,0.01,0.010,0,pointer_lstm,Attention-LSTM pointer,30,24,0.40668762599428493,0.08169239105844905,0.03268376341364685,1.5030798638860385,0.9679187268126747,0.3872481422186486,0.9038116575529175,0.2901157380057437,0.1160704689959567,0.22916666666666666,0.06004225565189998,0.02402190526097274
eccentricity,Eccentricity,Maximum eccentricity,0.02,0.020,0,expected_info_gain,Expected information gain,30,24,0.9806021514038245,1.1325847665954878,0.4531282788726608,9.184353947639465,23.113628670493252,9.247377403322494,2.491131970658896,3.635980229994873,1.4546950587946943,0.125,0.04636548774796055,0.01855005848743552
eccentricity,Eccentricity,Maximum eccentricity,0.02,0.020,0,flat_lstm,Flat LSTM,30,24,0.9043732360005379,0.7887962786888132,0.3155842376529856,3.990844632188479,3.3007286432947747,1.3205664893919937,2.665949582060177,2.258112970108179,0.9034333445265215,0.15277777777777776,0.06363897771572147,0.025460893782124943
eccentricity,Eccentricity,Maximum eccentricity,0.02,0.020,0,pointer_lstm,Attention-LSTM pointer,30,24,0.423860056946675,0.0817833771910933,0.03272016544809263,1.74257875730594,1.126535333063132,0.450708001392759,0.9698328933368122,0.3039299893994238,0.12159732062115448,0.20694444444444446,0.05895971495112195,0.023588798778331557
eccentricity,Eccentricity,Maximum eccentricity,0.03,0.030,0,expected_info_gain,Expected information gain,30,24,0.7915783872207006,0.5942846659747227,0.23776338495440705,4.462888980905215,7.871900280168214,3.149416035439064,2.1548649461319034,2.2835611669191236,0.9136147437131085,0.13611111111111113,0.05639462977368314,0.022562550972519642
eccentricity,Eccentricity,Maximum eccentricity,0.03,0.030,0,flat_lstm,Flat LSTM,30,24,0.7326983983318011,0.14324826442266317,0.0573112418812183,3.4615185310443244,1.1455770438683535,0.4583262723588232,2.3409112048645797,0.6194370459930028,0.2478264327750961,0.17222222222222225,0.04246813715137374,0.016990793503408538
eccentricity,Eccentricity,Maximum eccentricity,0.03,0.030,0,pointer_lstm,Attention-LSTM pointer,30,24,0.42080289373795193,0.07757143335579149,0.031035036955206693,1.5424017583330472,0.7549093762142026,0.3020266530486977,0.9562707150354978,0.32206455524412614,0.1288526580154705,0.2152777777777778,0.06368640460918709,0.025479868491340707
eccentricity,Eccentricity,Maximum eccentricity,0.04,0.040,0,expected_info_gain,Expected information gain,30,24,0.7660156662265459,0.5153269774822313,0.20617373043528997,3.294597417116165,4.472646706611411,1.7894313643864772,2.2018912593523647,3.1039692534006846,1.2418463385261584,0.11111111111111112,0.042468137151373736,0.016990793503408534
eccentricity,Eccentricity,Maximum eccentricity,0.04,0.040,0,flat_lstm,Flat LSTM,30,24,0.7757479809224606,0.35257893382525335,0.14106095204797656,3.6258047372102737,2.271990763865943,0.9089856183919984,2.336390974124271,1.6384583614976471,0.6555198685760838,0.16805555555555554,0.04448216997915851,0.017796574453112148
