family,x_value,method,n,ratio,ci95_low,ci95_high
inclination_shift,80.0,flat_lstm,24,1.0646204635084415,0.783306592472699,1.4469643715662108
inclination_shift,90.0,flat_lstm,24,1.47590812244111,1.0788247930520367,2.019146018812874
eccentricity,0.005,pointer_lstm,24,1.0,1.0,1.0
eccentricity,0.01,pointer_lstm,24,1.0348304337488519,0.8329445344417203,1.2856486624653687
eccentricity,0.02,pointer_lstm,24,1.0290158240645821,0.7623281597077067,1.3889996751284988
eccentricity,0.03,pointer_lstm,24,1.0949341527932368,0.9161188335854653,1.3086520601927991
eccentricity,0.04,pointer_lstm,24,1.0769625436983852,0.9314952945539303,1.2451467305422284
eccentricity,0.05,pointer_lstm,24,1.1203372503862756,0.9060057186779384,1.3853726623653415
eccentricity,0.055,pointer_lstm,24,0.9849330597465883,0.7682211506440626,1.2627784738398156
eccentricity,0.005,flat_lstm,24,1.0,1.0,1.0
eccentricity,0.01,flat_lstm,24,0.9795089674684355,0.7713029409858986,1.2439182665694277
eccentricity,0.02,flat_lstm,24,1.0465354277757373,0.7814957627608768,1.4014617273425545
eccentricity,0.03,flat_lstm,24,1.0198912044786326,0.8311141314917833,1.2515466042020482
eccentricity,0.04,flat_lstm,24,1.0441171977932513,0.8672832687642493,1.257006519082258
eccentricity,0.05,flat_lstm,24,1.002734979217456,0.801829697975631,1.253978795104182
eccentricity,0.055,flat_lstm,24,0.9227033762459139,0.7244019946635967,1.175288757909867
initial_uncertainty,0.5,pointer_lstm,24,1.6777116031084431,1.3804609194723678,2.0389684224313482
initial_uncertainty,1.0,pointer_lstm,24,1.0,1.0,1.0
initial_uncertainty,1.5,pointer_lstm,24,0.46943736960384247,0.33223646732007406,0.6632969756696528
initial_uncertainty,2.0,pointer_lstm,24,0.26115396985672834,0.15703541744631538,0.4343058214574079
initial_uncertainty,3.0,pointer_lstm,24,0.18255451353958618,0.10601247122433541,0.3143606599185178
initial_uncertainty,4.0,pointer_lstm,24,0.1676817430042807,0.10767034106129716,0.26114124521019605
initial_uncertainty,0.5,flat_lstm,24,1.2534512061390564,0.9515638198497623,1.651113560012732
initial_uncertainty,1.0,flat_lstm,24,1.0,1.0,1.0
initial_uncertainty,1.5,flat_lstm,24,1.645553551776849,0.8706236773911507,3.1102375941342926
initial_uncertainty,2.0,flat_lstm,24,3.4178605103376305,1.8535417082023884,6.302404966896959
initial_uncertainty,3.0,flat_lstm,24,3.3976868560791393,2.5349778053868794,4.553994889991197
initial_uncertainty,4.0,flat_lstm,24,3.605695186287616,2.4762983952923228,5.250190284472132
measurement_noise,25.0,pointer_lstm,24,0.8316538184149481,0.6366274740550094,1.0864251102433569
measurement_noise,50.0,pointer_lstm,24,1.0,1.0,1.0
measurement_noise,60.0,pointer_lstm,24,1.1603846413839343,1.0217040353793336,1.3178890063400817
measurement_noise,70.0,pointer_lstm,24,1.142841506452616,1.00681912398642,1.2972406639432303
measurement_noise,80.0,pointer_lstm,24,1.2111461754363144,1.0337776704502082,1.4189463558786197
