method,num_rso,episode,reset_seed,vector_env_index,step,time_s,mean_U,max_U,p99_U
expected_info_gain_corrected,2000,10,52000,10,50,250.0,18.783367156982422,33.977108001708984,30.994828872680664
expected_info_gain_corrected,2000,11,52000,11,50,250.0,18.583284378051758,33.66252136230469,30.816537685394287
expected_info_gain_corrected,2000,0,52000,0,100,500.0,17.80330467224121,35.28863525390625,31.122532119750975
expected_info_gain_corrected,2000,1,52000,1,100,500.0,17.500757217407227,34.441322326660156,31.261214447021484
expected_info_gain_corrected,2000,2,52000,2,100,500.0,17.32428550720215,35.1357307434082,31.218801517486572
expected_info_gain_corrected,2000,3,52000,3,100,500.0,17.583242416381836,33.39427185058594,31.047054500579833
expected_info_gain_corrected,2000,4,52000,4,100,500.0,17.57706642150879,33.75428009033203,30.716054420471192
expected_info_gain_corrected,2000,5,52000,5,100,500.0,17.415616989135742,32.95979690551758,31.026962814331053
expected_info_gain_corrected,2000,6,52000,6,100,500.0,17.700511932373047,32.673885345458984,30.978179836273192
expected_info_gain_corrected,2000,7,52000,7,100,500.0,17.3751163482666,34.380088806152344,31.172108192443847
expected_info_gain_corrected,2000,8,52000,8,100,500.0,17.61224365234375,33.47063446044922,31.049199237823487
expected_info_gain_corrected,2000,9,52000,9,100,500.0,17.60025405883789,32.51874542236328,30.675780372619627
expected_info_gain_corrected,2000,10,52000,10,100,500.0,17.29375457763672,33.38764953613281,30.873608951568603
expected_info_gain_corrected,2000,11,52000,11,100,500.0,17.216533660888672,33.97423553466797,30.84828113555908
expected_info_gain_corrected,2000,0,52000,0,150,750.0,15.999095916748047,30.85135269165039,28.958341674804686
expected_info_gain_corrected,2000,1,52000,1,150,750.0,15.74343204498291,31.967859268188477,29.26512866973877
expected_info_gain_corrected,2000,2,52000,2,150,750.0,15.72654914855957,31.827987670898438,29.11238224029541
expected_info_gain_corrected,2000,3,52000,3,150,750.0,15.962347984313965,31.465574264526367,28.99790065765381
expected_info_gain_corrected,2000,4,52000,4,150,750.0,15.965950965881348,31.819128036499023,28.908897686004636
expected_info_gain_corrected,2000,5,52000,5,150,750.0,15.954416275024414,30.94277000427246,29.00486967086792
expected_info_gain_corrected,2000,6,52000,6,150,750.0,15.793872833251953,31.055538177490234,29.030535469055174
expected_info_gain_corrected,2000,7,52000,7,150,750.0,15.797204971313477,30.99560546875,28.700776233673096
expected_info_gain_corrected,2000,8,52000,8,150,750.0,15.857537269592285,30.715839385986328,28.782825412750242
expected_info_gain_corrected,2000,9,52000,9,150,750.0,16.042604446411133,30.64212417602539,28.678264770507813
expected_info_gain_corrected,2000,10,52000,10,150,750.0,15.730834007263184,31.45066261291504,28.6356622505188
expected_info_gain_corrected,2000,11,52000,11,150,750.0,15.582038879394531,32.016693115234375,28.574056072235106
expected_info_gain_corrected,2000,0,52000,0,200,1000.0,16.225919723510742,34.652957916259766,30.43904287338257
expected_info_gain_corrected,2000,1,52000,1,200,1000.0,15.792158126831055,34.613250732421875,30.937776374816895
expected_info_gain_corrected,2000,2,52000,2,200,1000.0,15.791826248168945,34.86097717285156,30.002300224304197
expected_info_gain_corrected,2000,3,52000,3,200,1000.0,16.17618751525879,34.73793411254883,30.933340282440184
expected_info_gain_corrected,2000,4,52000,4,200,1000.0,16.054906845092773,33.355594635009766,30.245622692108153
expected_info_gain_corrected,2000,5,52000,5,200,1000.0,15.852663040161133,33.27821350097656,30.055737304687497
expected_info_gain_corrected,2000,6,52000,6,200,1000.0,16.08651351928711,32.77272033691406,30.480499877929688
expected_info_gain_corrected,2000,7,52000,7,200,1000.0,15.830459594726562,33.756248474121094,30.323807373046872
expected_info_gain_corrected,2000,8,52000,8,200,1000.0,15.998842239379883,34.048240661621094,30.604622383117675
expected_info_gain_corrected,2000,9,52000,9,200,1000.0,16.266281127929688,34.583030700683594,30.384563522338865
expected_info_gain_corrected,2000,10,52000,10,200,1000.0,15.90402603149414,33.89246368408203,30.157106285095214
expected_info_gain_corrected,2000,11,52000,11,200,1000.0,15.742890357971191,32.56108856201172,30.159895343780516
