condition,episode,step,time_hours,agent,sensor_type,sensor_type_label,rso,rso_x_km,rso_y_km,rso_z_km,geocentric_radius_km,geocentric_altitude_km,geocentric_latitude_deg,geocentric_longitude_deg,azimuth_deg,elevation_deg,slant_range_km,information_gain,preferred_range,in_crossover_band
correct,0,4,0.005555555555555556,1,0,Type A (near),14,7091.77490234375,589.374267578125,376.22216796875,7126.16140797183,755.1614079718302,3.026309312767324,4.750747940771317,142.39494372062043,78.5368862398275,768.8594883819887,0.2939532697200775,True,False
correct,1,4,0.005555555555555556,2,1,Type B (far),81,7123.9404296875,399.54522705078125,-461.7041015625,7150.058343230132,779.0583432301319,-3.702363513410131,3.2100630316210044,290.6615810778634,82.30703988569987,785.353770306053,0.1770089566707611,False,False
correct,4,4,0.005555555555555556,2,1,Type B (far),111,7007.14697265625,577.9121704101562,-421.878662109375,7043.583802203039,672.5838022030393,-3.433812032325772,4.714780034388854,51.581646054598124,80.53776984118848,680.9590300126696,0.13154691457748413,False,False
correct,5,4,0.005555555555555556,3,1,Type B (far),133,7064.6845703125,-388.8417663574219,601.370849609375,7100.888176561814,729.8881765618144,4.858171609855179,356.849606634416,44.59495304749517,78.40546366599435,743.4869179537459,0.1324528455734253,False,False
correct,0,5,0.006944444444444444,1,0,Type A (near),14,7088.11328125,615.61181640625,402.627685546875,7126.1796812528155,755.1796812528155,3.23892454343601,4.963756862441865,128.32239159661145,78.55651494949453,768.8305423447492,0.18807028234004974,True,False
correct,1,5,0.006944444444444444,2,1,Type B (far),81,7125.736328125,407.6534423828125,-425.3134765625,7150.048328535451,779.0483285354512,-3.410195258012006,3.274242782957442,309.1346336888157,81.48090793415817,786.7790996857169,0.13071569800376892,False,False
correct,4,5,0.006944444444444444,2,1,Type B (far),111,7008.43505859375,588.2410278320312,-385.715087890625,7043.6471807137905,672.6471807137905,-3.1391275369457463,4.797778034545757,42.791646518922015,77.87871789321065,686.476741248586,0.10466575622558594,False,False
correct,5,5,0.006944444444444444,3,1,Type B (far),133,7061.7353515625,-381.6065673828125,637.961181640625,7100.755186390919,729.7551863909193,5.154640148121702,356.9068225861999,38.02109837362845,75.97466381054103,749.7817103257937,0.10523176193237305,False,False
correct,0,6,0.008333333333333333,0,0,Type A (near),37,7075.37109375,-667.7333984375,-338.7779541015625,7114.879795741261,743.8797957412608,-2.7291942662902198,354.60871726798126,312.41515995232373,72.47242957041732,776.071026565254,0.9691852331161499,True,False
correct,0,6,0.008333333333333333,1,0,Type A (near),14,7084.255859375,641.832275390625,429.02197265625,7126.197415441421,755.1974154414211,3.4514931440956333,5.17685350252643,114.99659102427066,77.92287944753923,770.4259203724789,0.14361631870269775,True,False
correct,1,6,0.008333333333333333,2,1,Type B (far),81,7127.3388671875,415.7506103515625,-388.9111328125,7150.039144435141,779.0391444351408,-3.118020529874287,3.3383838295282944,323.15660075282125,79.97481313731355,789.7759458076141,0.1039273664355278,False,False
correct,1,6,0.008333333333333333,3,1,Type B (far),154,7070.05859375,-313.85931396484375,346.5885009765625,7085.503494955731,714.5034949557312,2.803750774242058,357.45815190136904,129.36928137768174,71.85147957343096,747.8782458509148,0.852628231048584,False,False
correct,3,6,0.008333333333333333,0,0,Type A (near),81,7034.06982421875,-645.504638671875,-665.49169921875,7094.906182061942,723.9061820619418,-5.382171285023206,354.75674927724015,221.8264876705513,72.30156949796893,755.9628545689939,0.973987340927124,True,False
correct,4,6,0.008333333333333333,0,0,Type A (near),149,7029.5625,-493.5324401855469,-729.2821044921875,7084.502494801897,713.5024948018972,-5.908521867189224,355.9839603893484,180.47904779632916,71.60682636381318,747.7732011864473,0.9695284962654114,True,False
correct,4,6,0.008333333333333333,2,1,Type B (far),111,7009.52392578125,598.553466796875,-349.539306640625,7043.711354506313,672.711354506313,-2.844431701594163,4.880730178210099,37.29128591190547,75.0929733512513,693.7997871886189,0.08726979792118073,False,False
