scenario,head,normalized_rank,attention_mean,ci95,n_samples
id_2000_k60,4,0.4067796610169492,1.0000178194227252,0.0003220437140919174,3552
id_2000_k60,4,0.423728813559322,0.9994281107509458,0.00031670533334747595,3552
id_2000_k60,4,0.4406779661016949,0.9996846225616094,0.0003229537507457573,3552
id_2000_k60,4,0.4576271186440678,0.9997380441138605,0.0003187300813289684,3552
id_2000_k60,4,0.4745762711864407,0.9996418868199931,0.00033093682649687234,3552
id_2000_k60,4,0.4915254237288136,0.9995131232851261,0.0003236407302189549,3552
id_2000_k60,4,0.5084745762711864,0.999697482414745,0.00032136443893164286,3552
id_2000_k60,4,0.5254237288135594,0.9991971629394872,0.00032694674902609895,3552
id_2000_k60,4,0.5423728813559322,0.9993495482045252,0.00032187496643942457,3552
id_2000_k60,4,0.559322033898305,0.9993862912797176,0.0003291615539899128,3552
id_2000_k60,4,0.576271186440678,0.9992108664869725,0.000328125783842352,3552
id_2000_k60,4,0.5932203389830508,0.9991626876263736,0.00032775881984909116,3552
id_2000_k60,4,0.6101694915254238,0.9990043610099468,0.00033291862223726505,3552
id_2000_k60,4,0.6271186440677966,0.9988733854413301,0.00032550194536406016,3552
id_2000_k60,4,0.6440677966101694,0.9992196194592629,0.00032882328816370346,3552
id_2000_k60,4,0.6610169491525424,0.998969994619623,0.00032660484607896625,3552
id_2000_k60,4,0.6779661016949152,0.9989312779292598,0.0003233438908083697,3552
id_2000_k60,4,0.6949152542372882,0.9986674097106532,0.00032915325890517274,3552
id_2000_k60,4,0.711864406779661,0.9986488372087479,0.00033941644963589687,3552
id_2000_k60,4,0.7288135593220338,0.9986160890543246,0.00032967442547902925,3552
id_2000_k60,4,0.7457627118644068,0.9984498098157011,0.0003285066339370599,3552
id_2000_k60,4,0.7627118644067796,0.9986821572120125,0.00033458878592809303,3552
id_2000_k60,4,0.7796610169491526,0.9983854051679373,0.00033365805902684637,3552
id_2000_k60,4,0.7966101694915254,0.9983608996713752,0.0003361370064398628,3552
id_2000_k60,4,0.8135593220338984,0.9980479946343211,0.000333018895199519,3552
id_2000_k60,4,0.8305084745762712,0.9982496569654694,0.00033437966033694034,3552
id_2000_k60,4,0.847457627118644,0.9981376868211203,0.0003436470772154462,3552
id_2000_k60,4,0.864406779661017,0.9981796920031041,0.00033659046961752185,3552
id_2000_k60,4,0.8813559322033898,0.9979054223544694,0.00033670043363200275,3552
id_2000_k60,4,0.8983050847457628,0.997748724948447,0.0003436330322549557,3552
id_2000_k60,4,0.9152542372881356,0.9977462257485132,0.0003404109195148369,3552
id_2000_k60,4,0.9322033898305084,0.9977478753976725,0.0003377217349953008,3552
id_2000_k60,4,0.9491525423728814,0.997384352492051,0.00034436475837289286,3552
id_2000_k60,4,0.9661016949152542,0.9971744731437784,0.00034876713037456514,3552
id_2000_k60,4,0.9830508474576272,0.9971506835573966,0.0003569846231477844,3552
id_2000_k60,4,1.0,0.9972148550724661,0.0003503097424875392,3552
scale_5000_k60,1,0.0,1.0021798457312692,0.00033302212404617214,3552
scale_5000_k60,1,0.01694915254237288,1.0021853796667881,0.0003351454211247963,3552
scale_5000_k60,1,0.03389830508474576,1.001741037746002,0.0003262142072332969,3552
scale_5000_k60,1,0.05084745762711865,1.0016808273891609,0.0003235344892521372,3552
scale_5000_k60,1,0.06779661016949153,1.0011839738602306,0.0003263918955116162,3552
scale_5000_k60,1,0.0847457627118644,1.0013317687957137,0.0003203586258560795,3552
