representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id_2000_k60,2,1,0.1388888888888889,10.369519,60,10.085058,0.195695,6.9083424,4.731902,0.0,0.054608006,0.08637644380342754,0.9333333333333333,0.9333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,2,0.1388888888888889,10.369519,60,9.636788,-1.137071,8.128347,4.64043,0.0,0.029481908,0.0651040913943893,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,3,0.1388888888888889,10.369519,60,9.237923,-0.52738005,7.2677016,5.474705,0.0,0.029958686,0.07927171831884319,0.8,0.8666666666666667,0.06666666666666665,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,2,4,0.1388888888888889,10.369519,60,8.857743,-1.3636713,8.5563965,4.482066,0.0,0.012260183,0.0921253090616073,0.8,0.9333333333333333,0.1333333333333333,team9_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,5,0.1388888888888889,10.369519,60,9.506427,-0.7263871,7.436751,5.0099387,0.0,0.017506683,0.09075936809904675,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,6,0.1388888888888889,10.369519,60,8.187024,-1.0284804,8.873519,5.4822764,0.016666666666666666,0.012683646,0.08385692386926086,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,7,0.1388888888888889,10.369519,60,9.455367,-0.06351005,7.276268,5.1283283,0.016666666666666666,0.049483705,0.09104639624588956,0.7333333333333333,0.8666666666666667,0.13333333333333341,scale_5000_k60,id_2000_k15,False,False,False
encoder,id_2000_k60,2,8,0.1388888888888889,10.369519,60,9.104911,-1.5441549,8.869708,4.7791996,0.0,0.010415205,0.056684676938291205,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,9,0.1388888888888889,10.369519,60,9.12714,-1.0804496,8.219599,4.8085327,0.0,0.0315394,0.08802629782184367,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,10,0.1388888888888889,10.369519,60,8.616157,-0.68704635,7.918596,5.8955827,0.016666666666666666,0.022639653,0.10120635599129223,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,11,0.1388888888888889,10.369519,60,9.416131,-1.1002284,8.571837,5.646778,0.0,0.0109572215,0.05198317192623842,1.0,1.0,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,0,0.1388888888888889,10.397433,60,8.570973,-1.7252074,9.189578,5.26301,0.0,0.007847961,0.07106128103302092,0.8,0.6666666666666666,-0.13333333333333341,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,1,0.1388888888888889,10.397433,60,9.956013,-0.47524393,7.438887,4.797873,0.0,0.03720574,0.08289867421720701,0.9333333333333333,0.8666666666666667,-0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,2,0.1388888888888889,10.397433,60,9.3930435,-2.3725119,8.525484,4.470853,0.0,0.013323668,0.17281330073884912,1.0,0.8666666666666667,-0.1333333333333333,team9_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,3,3,0.1388888888888889,10.397433,60,8.129133,-1.566705,9.107945,5.2413645,0.0,0.011225446,0.06235363409654233,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,4,0.1388888888888889,10.397433,60,9.355567,-1.1674012,7.6804304,5.0290227,0.0,0.020556124,0.07430976736783394,0.8,0.8666666666666667,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,5,0.1388888888888889,10.397433,60,9.398241,-0.9124106,7.9848433,4.844151,0.0,0.01268735,0.05964791377399784,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,6,0.1388888888888889,10.397433,60,9.687608,-0.8651783,7.985069,5.166372,0.03333333333333333,0.016846728,0.04632197955140814,0.9333333333333333,0.8666666666666667,-0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,7,0.1388888888888889,10.397433,60,8.9526,-0.7630659,8.066442,5.344704,0.0,0.018281348,0.09414896928112694,1.0,0.8666666666666667,-0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,8,0.1388888888888889,10.397433,60,9.073843,-0.5715926,7.894055,5.337077,0.0,0.025390677,0.0892578287708305,1.0,0.8666666666666667,-0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,9,0.1388888888888889,10.397433,60,9.858199,0.07657692,6.5021057,5.301561,0.0,0.07254073,0.07699975945798056,0.8666666666666667,0.9333333333333333,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,10,0.1388888888888889,10.397433,60,8.961222,-1.0394219,8.057869,5.7388425,0.0,0.017035203,0.09750375569784565,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,11,0.1388888888888889,10.397433,60,9.957944,-0.2034279,6.1952434,4.9562054,0.016666666666666666,0.098774776,0.10078940075676858,0.7333333333333333,0.8,0.06666666666666676,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,0,0.2777777777777778,4.3311825,60,9.852972,0.1988533,5.5914702,4.839264,0.0,0.103306785,0.08958631096346079,0.8666666666666667,0.8666666666666667,0.0,retrograde_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,1,0.2777777777777778,4.3311825,60,8.698946,-0.15765187,7.245586,5.2525654,0.016666666666666666,0.042296167,0.2278688833898089,0.8,0.8,0.0,scale_5000_k60,id_2000_k15,False,False,False
encoder,id_2000_k60,0,2,0.2777777777777778,4.3311825,60,9.070479,0.6052233,3.8424234,7.281055,0.05,0.1264524,0.07744594561173157,0.8,0.8666666666666667,0.06666666666666665,team9_2000_k60,retrograde_2000_k60,False,False,False
encoder,id_2000_k60,0,3,0.2777777777777778,4.3311825,60,9.579477,0.23505941,5.390698,5.286866,0.0,0.06684337,0.05204470815603752,0.8,0.8,0.0,team9_2000_k60,id_2000_k15,False,False,False
encoder,id_2000_k60,0,4,0.2777777777777778,4.3311825,60,9.56765,0.165327,4.264696,5.8501287,0.0,0.17809461,0.06930219824490437,0.3333333333333333,0.8666666666666667,0.5333333333333334,id_2000_k60,id_2000_k15,False,False,True
encoder,id_2000_k60,0,5,0.2777777777777778,4.3311825,60,10.06798,1.1913469,4.9994774,5.3045607,0.0,0.11805881,0.06374594619450173,0.6,0.8666666666666667,0.2666666666666667,team9_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,6,0.2777777777777778,4.3311825,60,10.109705,1.8620988,2.0867672,5.6504655,0.0,0.2151821,0.07881757809796405,0.6,0.6666666666666666,0.06666666666666665,id_2000_k60,id_2000_k60,True,False,False
encoder,id_2000_k60,0,7,0.2777777777777778,4.3311825,60,8.86486,-0.4527931,7.919658,5.5026407,0.016666666666666666,0.017794799,0.06212991771888609,0.8666666666666667,0.9333333333333333,0.06666666666666665,team9_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,8,0.2777777777777778,4.3311825,60,9.913514,1.3102101,4.652716,5.013821,0.0,0.13047685,0.09732666831777265,0.8666666666666667,0.8,-0.06666666666666665,id_2000_k15,id_2000_k15,False,False,False
encoder,id_2000_k60,0,9,0.2777777777777778,4.3311825,60,9.91797,0.37561074,6.125694,5.2140803,0.0,0.09790216,0.08758242948491785,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,id_2000_k15,False,False,False
encoder,id_2000_k60,0,10,0.2777777777777778,4.3311825,60,10.060001,1.8301104,0.82825613,7.801261,0.0,0.18019342,0.05748950596908311,0.6666666666666666,0.6666666666666666,0.0,id_2000_k60,id_2000_k60,False,False,False
encoder,id_2000_k60,0,11,0.2777777777777778,4.3311825,60,9.953677,0.12900676,4.78482,5.422384,0.0,0.13892315,0.06465039033574561,0.4,0.9333333333333333,0.5333333333333333,id_2000_k60,scale_5000_k60,False,False,True
encoder,id_2000_k60,1,0,0.2777777777777778,4.723176,60,9.802485,0.028498653,6.480565,4.970363,0.0,0.077544674,0.0770206481985553,0.8,0.8666666666666667,0.06666666666666665,retrograde_2000_k60,scale_5000_k60,False,False,False
