representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
recurrent,retrograde_2000_k60,1,0,4.305555555555555,0.085303016,60,13.994946,7.58297,1.3206542,7.6158414,0.05,0.012922724,0.13770398077613605,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,id_2000_k15,False,False,True,0.923731728288908
encoder,scale_5000_k60,3,3,3.4722222222222223,0.83249617,60,12.995695,5.7564626,1.3204144,5.3177805,0.0,0.05916118,0.12930836906429735,0.13333333333333333,0.8,0.6666666666666667,scale_5000_k60,id_2000_k15,False,False,True,0.923731728288908
encoder,scale_5000_k60,0,0,3.75,0.7033168,60,10.514957,6.3666425,0.3632283,9.274111,0.0,0.11520728,0.15097243887582945,0.2,0.8666666666666667,0.6666666666666667,scale_5000_k60,id_2000_k60,False,False,True,0.923731728288908
encoder,scale_5000_k60,5,0,2.083333333333333,0.9389402,60,8.833564,5.273534,-0.96494186,0.9443527,0.0,0.06112103,0.08952344798440821,0.2,0.8666666666666667,0.6666666666666667,scale_5000_k60,id_2000_k60,False,False,True,0.923731728288908
encoder,id_2000_k15,1,3,1.805555555555556,0.112195745,15,13.263934,4.9374685,1.4621816,5.471528,0.0,0.08585475,0.058592725279116,0.2,0.8666666666666667,0.6666666666666667,id_2000_k15,id_2000_k60,False,False,True,0.923731728288908
encoder,retrograde_2000_k60,0,7,0.8333333333333334,0.20438503,60,5.6024046,12.5068445,-4.3691697,4.9573812,0.016666666666666666,0.072976604,0.0680011092766424,0.13333333333333333,0.8,0.6666666666666667,retrograde_2000_k60,team9_2000_k60,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,1,4,4.722222222222222,0.085153304,60,13.974809,12.515949,-1.9984663,2.952179,0.0,0.03130753,0.09512386151950158,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,team9_2000_k60,False,False,True,0.923731728288908
encoder,retrograde_2000_k60,0,9,0.4166666666666667,2.7056837,60,8.488302,0.2614715,5.6484246,6.4414835,0.03333333333333333,0.09461429,0.08105755291516145,0.13333333333333333,0.8,0.6666666666666667,retrograde_2000_k60,id_2000_k15,False,False,True,0.923731728288908
encoder,retrograde_2000_k60,0,8,0.4166666666666667,2.7056837,60,8.302803,0.6272063,2.4220686,8.501184,0.0,0.13441016,0.07689962426406388,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,id_2000_k15,False,False,True,0.923731728288908
encoder,scale_5000_k60,1,5,3.888888888888889,0.9058537,60,12.22716,16.481543,2.1394203,6.712266,0.03333333333333333,0.076168776,0.12701774263869287,0.2,0.8666666666666667,0.6666666666666667,scale_5000_k60,retrograde_2000_k60,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,2,9,3.4722222222222223,0.08577631,60,10.031285,17.27865,-1.0123464,10.352262,0.0,0.012897504,0.06809711920057791,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,scale_5000_k60,False,False,True,0.923731728288908
encoder,scale_5000_k60,5,1,2.7777777777777777,0.89276946,60,13.894173,4.597837,1.0550328,6.7231402,0.03333333333333333,0.082867004,0.06356646396395622,0.2,0.8666666666666667,0.6666666666666667,scale_5000_k60,id_2000_k15,False,False,True,0.923731728288908
encoder,id_2000_k15,2,8,0.4166666666666667,4.5041075,15,9.977313,1.3380992,3.0195022,5.249201,0.0,0.13704239,0.07176191532938739,0.26666666666666666,0.9333333333333333,0.6666666666666667,id_2000_k15,id_2000_k60,False,False,True,0.923731728288908
encoder,scale_5000_k60,7,5,2.083333333333333,0.8527162,60,10.241917,16.249498,-2.4532704,9.636379,0.016666666666666666,0.100781314,0.1394655283531806,0.2,0.8666666666666667,0.6666666666666667,scale_5000_k60,retrograde_2000_k60,False,False,True,0.923731728288908
encoder,retrograde_2000_k60,6,1,3.333333333333333,0.086251356,60,9.819412,6.964332,-5.0111628,5.690053,0.016666666666666666,0.046993215,0.057441570567892224,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,id_2000_k60,False,False,True,0.923731728288908
encoder,team9_2000_k60,4,0,3.055555555555556,0.13887939,60,13.8213415,4.8677297,1.6388047,7.0038567,0.0,0.04773177,0.06530090025305278,0.13333333333333333,0.8,0.6666666666666667,team9_2000_k60,scale_5000_k60,False,False,True,0.923731728288908
encoder,scale_5000_k60,1,2,3.75,0.90615684,60,13.155448,5.896431,1.3507226,8.104649,0.0,0.069748335,0.10960903812480056,0.26666666666666666,0.9333333333333333,0.6666666666666667,scale_5000_k60,id_2000_k15,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,3,9,2.083333333333333,0.094939284,60,9.960604,16.85553,-2.4330537,9.718238,0.0,0.013293159,0.0817942142334323,0.26666666666666666,0.9333333333333333,0.6666666666666667,retrograde_2000_k60,id_2000_k60,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,3,8,0.9722222222222222,0.18231136,60,10.010249,16.99635,1.8511928,10.133563,0.016666666666666666,0.016722115,0.0744462624214052,0.13333333333333333,0.8,0.6666666666666667,retrograde_2000_k60,id_2000_k15,False,False,True,0.923731728288908
