scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2
id_2000_k60,3,9,0.1388888888888889,10.397433,60,9.858199,0.07657692,6.5021057,5.301561
id_2000_k60,3,10,0.1388888888888889,10.397433,60,8.961222,-1.0394219,8.057869,5.7388425
id_2000_k60,3,11,0.1388888888888889,10.397433,60,9.957944,-0.2034279,6.1952434,4.9562054
id_2000_k60,0,0,0.2777777777777778,4.3311825,60,9.852972,0.1988533,5.5914702,4.839264
id_2000_k60,0,1,0.2777777777777778,4.3311825,60,8.698946,-0.15765187,7.245586,5.2525654
id_2000_k60,0,2,0.2777777777777778,4.3311825,60,9.070479,0.6052233,3.8424234,7.281055
id_2000_k60,0,3,0.2777777777777778,4.3311825,60,9.579477,0.23505941,5.390698,5.286866
id_2000_k60,0,4,0.2777777777777778,4.3311825,60,9.56765,0.165327,4.264696,5.8501287
id_2000_k60,0,5,0.2777777777777778,4.3311825,60,10.06798,1.1913469,4.9994774,5.3045607
id_2000_k60,0,6,0.2777777777777778,4.3311825,60,10.109705,1.8620988,2.0867672,5.6504655
id_2000_k60,0,7,0.2777777777777778,4.3311825,60,8.86486,-0.4527931,7.919658,5.5026407
id_2000_k60,0,8,0.2777777777777778,4.3311825,60,9.913514,1.3102101,4.652716,5.013821
id_2000_k60,0,9,0.2777777777777778,4.3311825,60,9.91797,0.37561074,6.125694,5.2140803
id_2000_k60,0,10,0.2777777777777778,4.3311825,60,10.060001,1.8301104,0.82825613,7.801261
id_2000_k60,0,11,0.2777777777777778,4.3311825,60,9.953677,0.12900676,4.78482,5.422384
id_2000_k60,1,0,0.2777777777777778,4.723176,60,9.802485,0.028498653,6.480565,4.970363
id_2000_k60,1,1,0.2777777777777778,4.723176,60,8.775994,0.14724565,7.6650376,5.527834
id_2000_k60,1,2,0.2777777777777778,4.723176,60,8.983468,-0.13830492,6.1353717,6.0164213
id_2000_k60,1,3,0.2777777777777778,4.723176,60,9.285301,-0.38921446,7.2768016,5.4795856
id_2000_k60,1,4,0.2777777777777778,4.723176,60,9.851733,0.68101877,4.5948887,4.5950375
id_2000_k60,1,5,0.2777777777777778,4.723176,60,9.948737,0.7398859,5.063579,5.6362247
id_2000_k60,1,6,0.2777777777777778,4.723176,60,10.097569,0.5001317,4.6610146,5.545214
id_2000_k60,1,7,0.2777777777777778,4.723176,60,9.503212,1.2233479,2.0566995,3.3367798
id_2000_k60,1,8,0.2777777777777778,4.723176,60,8.242548,-0.09861103,7.2183127,5.908893
id_2000_k60,1,9,0.2777777777777778,4.723176,60,9.86436,0.91279185,4.102857,4.6124964
id_2000_k60,1,10,0.2777777777777778,4.723176,60,10.151458,1.1195375,3.0684824,6.5802846
id_2000_k60,1,11,0.2777777777777778,4.723176,60,10.092531,0.49180126,5.0668263,4.5229774
id_2000_k60,2,0,0.2777777777777778,4.477794,60,9.279177,0.90174466,5.212157,6.03858
id_2000_k60,2,1,0.2777777777777778,4.477794,60,8.793708,0.13460934,7.517861,5.70642
id_2000_k60,2,2,0.2777777777777778,4.477794,60,9.514384,0.2723935,3.9732842,6.7070527
id_2000_k60,2,3,0.2777777777777778,4.477794,60,9.704149,0.39077732,5.33468,5.284659
id_2000_k60,2,4,0.2777777777777778,4.477794,60,9.771942,0.37711838,5.1530337,5.4358277
id_2000_k60,2,5,0.2777777777777778,4.477794,60,8.37153,0.1354618,4.8182693,6.667197
id_2000_k60,2,6,0.2777777777777778,4.477794,60,10.249678,1.5838276,1.2106196,0.5642627
id_2000_k60,2,7,0.2777777777777778,4.477794,60,9.167025,0.87769765,5.257997,5.7056293
id_2000_k60,2,8,0.2777777777777778,4.477794,60,9.978771,0.8955587,5.183404,4.884653
id_2000_k60,2,9,0.2777777777777778,4.477794,60,10.056913,1.3784798,3.3752038,4.661608
id_2000_k60,2,10,0.2777777777777778,4.477794,60,9.396614,0.31495884,3.598938,7.2558756
id_2000_k60,2,11,0.2777777777777778,4.477794,60,10.192507,1.1507032,5.102804,4.583729
id_2000_k60,3,0,0.2777777777777778,4.7498784,60,9.797851,-0.060459983,6.3663726,5.140429
id_2000_k60,3,1,0.2777777777777778,4.7498784,60,8.859277,-0.020474438,7.650381,5.539422
id_2000_k60,3,2,0.2777777777777778,4.7498784,60,8.964298,-0.058533043,5.7098994,6.2556953
id_2000_k60,3,3,0.2777777777777778,4.7498784,60,9.175641,-0.042270347,6.3612003,5.818322
id_2000_k60,3,4,0.2777777777777778,4.7498784,60,9.4610615,0.07705916,5.8057356,5.3197775
id_2000_k60,3,5,0.2777777777777778,4.7498784,60,9.800404,0.47991335,5.293578,5.663007
