scenario,head,entity,attention_mass,attention_mass_ci95,uniform_mass,uniform_enrichment,num_entity_tokens,num_total_tokens,n_samples
retrograde_2000_k60,2,RSOs,0.8571639394236578,0.0001864140671778517,0.8333333333333334,1.0285967273083894,60,72,3552
retrograde_2000_k60,3,Self,0.014154559935533299,5.235755536001051e-06,0.013888888888888888,1.0191283153583977,1,72,3552
retrograde_2000_k60,3,Teammates,0.1518474090970247,5.327068202550712e-05,0.1527777777777778,0.9939103140896162,11,72,3552
retrograde_2000_k60,3,RSOs,0.8339980301354919,5.578765114098997e-05,0.8333333333333334,1.0007976361625903,60,72,3552
retrograde_2000_k60,4,Self,0.01334329057319157,1.4289124145180638e-05,0.013888888888888888,0.960716921269793,1,72,3552
retrograde_2000_k60,4,Teammates,0.14476143144205347,0.00018442684134356528,0.1527777777777778,0.9475293694388954,11,72,3552
retrograde_2000_k60,4,RSOs,0.8418952776706433,0.00019777607245771947,0.8333333333333334,1.010274333204772,60,72,3552
team9_2000_k60,1,Self,0.014210339527235957,4.640883073643168e-06,0.014492753623188406,0.980513427379281,1,69,2664
team9_2000_k60,1,Teammates,0.10956825019774942,6.682735823037846e-05,0.11594202898550725,0.9450261579555888,8,69,2664
team9_2000_k60,1,RSOs,0.8762214102365591,6.932657173636364e-05,0.8695652173913043,1.007654621772043,60,69,2664
team9_2000_k60,2,Self,0.013580596121307742,1.4782590258394603e-05,0.014492753623188406,0.9370611323702341,1,69,2664
team9_2000_k60,2,Teammates,0.09779835512509218,0.0001514047089839051,0.11594202898550725,0.84351081295392,8,69,2664
team9_2000_k60,2,RSOs,0.88862104986881,0.00016392040390073744,0.8695652173913043,1.0219142073491314,60,69,2664
team9_2000_k60,3,Self,0.014728965097548882,6.984992350542326e-06,0.014492753623188406,1.016298591730873,1,69,2664
team9_2000_k60,3,Teammates,0.11512177851185337,5.2327171399809536e-05,0.11594202898550725,0.9929253396647353,8,69,2664
team9_2000_k60,3,RSOs,0.8701492569468043,5.6034297995633174e-05,0.8695652173913043,1.000671645488825,60,69,2664
team9_2000_k60,4,Self,0.013887799822854006,1.7995879676170177e-05,0.014492753623188406,0.9582581877769264,1,69,2664
team9_2000_k60,4,Teammates,0.1096171157311525,0.00017753256681383723,0.11594202898550725,0.9454476231811904,8,69,2664
team9_2000_k60,4,RSOs,0.8764950811370715,0.00019434853455491008,0.8695652173913043,1.0079693433076322,60,69,2664
