method,access_mode,num_rso,step,meanU_mean,meanU_std,n_episodes
max_uncertainty_greedy,topk,2000,50,18.934249997138977,0.1973513663854685,48
max_uncertainty_greedy,topk,2000,100,17.40942108631134,0.265594121437875,48
max_uncertainty_greedy,topk,2000,150,15.428086141745249,0.2433720386416617,48
max_uncertainty_greedy,topk,2000,200,15.16823293765386,0.2594151329814779,48
max_uncertainty_greedy,topk,2000,250,17.567856828371685,0.3568783883244077,48
max_uncertainty_greedy,topk,2000,300,19.79273307323456,0.4804822682582706,48
max_uncertainty_greedy,topk,2000,350,21.023232380549118,0.6370154908930056,48
max_uncertainty_greedy,topk,2000,400,21.00494448343913,0.7088463793711567,48
max_uncertainty_greedy,topk,2000,450,20.727867523829143,0.7356305185477875,48
max_uncertainty_greedy,topk,2000,500,21.359870036443077,0.7145980728438279,48
max_uncertainty_greedy,topk,2000,550,22.289133826891582,0.847333059981343,48
max_uncertainty_greedy,topk,2000,600,23.110592524210613,0.9597519320543616,48
max_uncertainty_greedy,topk,2000,650,23.431405027707417,0.963489031486882,48
max_uncertainty_greedy,topk,2000,700,23.06362557411194,1.1341682115163836,48
max_uncertainty_greedy,topk,2000,750,22.112996379534405,1.251696183835271,48
max_uncertainty_greedy,topk,2000,800,20.703182458877563,1.3145641404066055,48
max_uncertainty_greedy,topk,2000,850,19.092589616775516,1.2348437895981856,48
max_uncertainty_greedy,topk,2000,900,17.87896450360616,1.2547055470921231,48
max_uncertainty_greedy,topk,2000,950,16.81184196472168,1.0970851958569274,48
