method,num_rso,step,sim_time_h,n_values,mean_U,min_U,p025_U,p05_U,p50_U,p95_U,p975_U,max_U
expected_info_gain,2000,700,0.9722222222222222,96000,23.00608149073149,0.07348498702049255,0.1500126402825117,0.15332986637949944,13.916239738464355,86.27214622497559,102.5683712005615,119.42923736572266
expected_info_gain,2000,750,1.0416666666666667,96000,21.987434107577815,0.07499657571315765,0.15066581591963768,0.15476514101028443,6.254772901535034,93.39223289489748,103.72596549987792,119.67807006835938
expected_info_gain,2000,800,1.1111111111111112,96000,20.531428612490572,0.07512591779232025,0.150732646510005,0.155006954818964,0.4857139140367508,96.4724105834961,104.13276386260986,119.7359848022461
expected_info_gain,2000,850,1.1805555555555556,96000,18.987149014235552,0.07059482485055923,0.1499336466193199,0.15443777590990065,0.4806375652551651,97.51655349731448,104.43737525939937,119.79365539550781
expected_info_gain,2000,900,1.25,96000,17.705616610320053,0.0688537135720253,0.13549561835825444,0.1500903196632862,0.48547881841659546,97.80446243286134,104.55861663818358,149.99578857421875
expected_info_gain,2000,950,1.3194444444444444,96000,16.659039907929333,0.07035806775093079,0.12999455705285073,0.1384768232703209,0.4907355308532715,97.76593666076661,104.37197952270506,149.98800659179688
expected_info_gain,2000,1000,1.3888888888888888,96000,15.789338462813525,0.06901855766773224,0.12717714197933674,0.1324260912835598,0.49056774377822876,97.07007713317873,103.76921977996824,149.98031616210938
expected_info_gain,2000,1050,1.4583333333333333,96000,15.137913284985038,0.0650840550661087,0.12283627316355705,0.12903416827321051,0.4855216443538666,96.02470397949219,103.05186309814452,149.97283935546875
expected_info_gain,2000,1100,1.5277777777777777,96000,14.459784373378303,0.05999999865889549,0.11745659243315458,0.12634945660829544,0.4778871536254883,94.49167823791504,102.10038185119627,149.9654998779297
expected_info_gain,2000,1150,1.5972222222222223,96000,13.83769290275701,0.05999999865889549,0.11383775994181633,0.12297354862093926,0.4680006057024002,92.809965133667,101.12549057006835,149.95835876464844
expected_info_gain,2000,1200,1.6666666666666667,96000,13.125100171120566,0.05999999865889549,0.10899364221841097,0.11944149285554886,0.43819020688533783,91.17742462158203,99.85288124084472,149.9514923095703
expected_info_gain,2000,1250,1.7361111111111112,96000,12.35579207453481,0.05999999865889549,0.10125259775668383,0.11389745101332664,0.28839100897312164,89.59148406982423,98.55452384948728,120.24292755126953
expected_info_gain,2000,1300,1.8055555555555556,96000,11.512433890925992,0.05999999865889549,0.09298096690326929,0.10694009102880955,0.24310969561338425,87.27693023681641,97.09747924804684,120.3011703491211
expected_info_gain,2000,1350,1.875,96000,10.778283264202104,0.05999999865889549,0.08900587633252144,0.10356797464191914,0.2325415164232254,84.75828552246094,96.19375438690182,120.35952758789062
expected_info_gain,2000,1400,1.9444444444444444,96000,10.02224170307466,0.05999999865889549,0.08733379673212767,0.10173479579389096,0.22706780582666397,81.73572845458986,94.44498462676998,120.41802978515625
expected_info_gain,2000,1450,2.013888888888889,96000,9.315171772169764,0.05999999865889549,0.08644773736596108,0.10021542385220528,0.22178000956773758,78.3666316986084,92.24110431671139,120.47660064697266
expected_info_gain,2000,1500,2.0833333333333335,96000,8.736005182069027,0.05999999865889549,0.08607321679592132,0.09877817966043949,0.21541321277618408,72.79275207519534,89.69568767547602,120.53511810302734
expected_info_gain,2000,1550,2.1527777777777777,96000,8.23997649697812,0.05999999865889549,0.08508469238877296,0.09704187586903572,0.20635031908750534,63.834173393249564,87.41081600189199,120.5935287475586
expected_info_gain,2000,1600,2.2222222222222223,96000,7.773175847040101,0.05999999865889549,0.08383893352001906,0.09565595276653767,0.1952127143740654,48.30931758880628,84.48104038238522,120.6516342163086
expected_info_gain,2000,1650,2.2916666666666665,96000,7.371228737474302,0.05999999865889549,0.08238827213644981,0.09410350471735,0.18304555863142014,32.832199287414554,80.87051200866698,120.70938110351562
expected_info_gain,2000,1700,2.361111111111111,96000,6.996940981274743,0.05999999865889549,0.08088936060667037,0.0928644262254238,0.17132040113210678,31.92551450729373,75.93659820556638,119.38360595703125
