scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,2,3.38118839263916
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,3,0.3963213264942169
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,4,0.791330099105835
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,5,1.299468994140625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,6,0.3628220558166504
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,7,0.9599750638008118
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,8,4.484821319580078
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,9,22.971891403198242
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,10,3.0838193893432617
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,11,24.070711135864258
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,12,2.556180953979492
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,13,0.6486481428146362
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,14,0.5674049258232117
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,15,104.39674377441406
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,16,1.1178536415100098
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,17,0.15049079060554504
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,18,110.14561462402344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,19,1.5864856243133545
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,20,8.337422370910645
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,21,3.139540910720825
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,22,0.6047773957252502
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,23,1.5687119960784912
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,24,1.5576586723327637
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,25,0.4075591564178467
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,26,3.0597667694091797
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,27,108.54969787597656
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,28,28.605268478393555
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,29,2.1700334548950195
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,0,97.6500244140625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,1,109.15461730957031
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,2,108.64199829101562
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,3,0.1896163523197174
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,4,0.7480144500732422
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,5,108.54598999023438
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,6,0.6760061979293823
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,7,0.7898639440536499
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,8,0.9039711952209473
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,9,1.8161050081253052
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,10,0.6050054430961609
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,11,0.9005632400512695
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,12,0.7896706461906433
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,13,100.01477813720703
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,14,4.8656158447265625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,15,2.5208303928375244
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,16,3.074970245361328
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,17,1.8365517854690552
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,18,8.031108856201172
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,19,45.996673583984375
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,20,107.626708984375
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,21,114.76253509521484
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,22,40.905059814453125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,23,0.6910897493362427
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,24,7.205502510070801
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,25,108.08341979980469
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,26,2.2030556201934814
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,27,52.255245208740234
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,28,2.5276060104370117
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4,29,85.80794525146484
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,0,2.7471389770507812
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,1,11.661215782165527
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,2,66.46419525146484
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,3,6.7102227210998535
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,4,104.71106719970703
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,5,2.2562527656555176
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,6,38.3688850402832
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,7,106.6081314086914
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,8,108.59016418457031
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,9,108.29157257080078
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,10,2.574673891067505
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,11,1.7846174240112305
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,12,106.65481567382812
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,13,3.6664364337921143
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,14,1.045610785484314
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,15,0.5607845783233643
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,16,0.42133963108062744
