scenario,scenario_label,method,method_label,step,sim_time_s,mean_u_km,std_u_km,n_episodes
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3750,18745.0,35.720245361328125,8.277912596271877,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3800,18995.0,35.43913269042969,8.043026575479404,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3850,19245.0,35.335771484375,8.157552080604846,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3900,19495.0,35.639876708984374,8.171242726760916,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3950,19745.0,35.49778564453125,8.302452073252896,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,4000,19995.0,35.51391967773438,8.433029217290834,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,50,245.0,7.765628662109375,0.3201970185102593,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,100,495.0,7.709165649414063,0.36676385088518587,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,150,745.0,7.529828491210938,0.40212239952284656,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,200,995.0,8.088404693603515,0.5189189679565834,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,250,1245.0,10.022786254882812,0.597433741640803,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,300,1495.0,12.37620132446289,0.9231305829827109,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,350,1745.0,14.506834411621094,1.260840680258046,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,400,1995.0,16.698262939453127,1.457673379014054,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,450,2245.0,18.326243591308593,1.717241364029303,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,500,2495.0,19.66898986816406,1.9655101485834297,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,550,2745.0,20.882183837890626,2.298987913444643,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,600,2995.0,21.77202178955078,2.4111749129731352,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,650,3245.0,22.35149200439453,2.4840967811485126,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,700,3495.0,22.694653625488282,3.057366798568105,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,750,3745.0,22.828028259277342,3.299698555816898,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,800,3995.0,22.586856384277343,3.4969102886197825,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,850,4245.0,22.030574951171875,3.3582131328726503,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,900,4495.0,21.41785675048828,3.429834081255043,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,950,4745.0,20.449369812011717,3.757637778498129,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1000,4995.0,19.36212158203125,3.570913966140486,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1050,5245.0,18.01078094482422,3.8163917421344262,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1100,5495.0,16.634744262695314,3.8597861767655397,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1150,5745.0,15.165159912109376,3.7029278740141227,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1200,5995.0,13.877399444580078,3.508370151567861,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1250,6245.0,12.9207958984375,3.3303299109494264,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1300,6495.0,12.663248901367188,3.348863761410946,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1350,6745.0,12.205006103515625,3.44302983302717,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1400,6995.0,11.907671203613281,3.3530825228551313,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1450,7245.0,11.754280853271485,3.4470565712253514,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1500,7495.0,11.618797149658203,3.522305882883316,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1550,7745.0,11.569810638427734,3.698817293277599,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1600,7995.0,11.399709320068359,3.960098712466375,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1650,8245.0,11.232280120849609,4.425445167143267,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1700,8495.0,11.112494354248048,4.612370953082212,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1750,8745.0,11.046359405517578,5.011077040206363,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1800,8995.0,11.229986419677735,5.107061568594621,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1850,9245.0,11.287589721679687,5.073398368885109,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1900,9495.0,11.366893768310547,5.290169334462424,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,1950,9745.0,11.412147521972656,5.399284554675589,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2000,9995.0,11.547936553955077,5.518824781674822,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2050,10245.0,11.371474609375,5.569924800089512,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2100,10495.0,11.426176147460938,5.638591748735979,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2150,10745.0,11.558999633789062,5.854612533317903,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2200,10995.0,11.49207748413086,6.004630116260913,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2250,11245.0,11.244257049560547,6.145270690574924,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2300,11495.0,11.13088165283203,6.315461248324209,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2350,11745.0,11.048254547119141,6.356907800521165,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2400,11995.0,10.846914520263672,6.220975836699274,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2450,12245.0,10.494646453857422,6.086829769150436,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2500,12495.0,10.30606948852539,6.109377102655526,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2550,12745.0,9.75089111328125,5.805525611336657,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2600,12995.0,9.109660491943359,5.60441241386904,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2650,13245.0,8.833896331787109,5.569296253162356,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2700,13495.0,8.536258392333984,5.554498408624942,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2750,13745.0,8.676483764648438,5.523306251919695,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2800,13995.0,8.734488525390624,5.769727050639573,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2850,14245.0,8.769061279296874,5.837247683640864,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2900,14495.0,8.512471008300782,5.601440717716172,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,2950,14745.0,8.386074829101563,5.559498745791673,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3000,14995.0,8.312451629638671,5.3788038143509915,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3050,15245.0,8.219874725341796,5.2241996319636375,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3100,15495.0,8.070288543701173,5.230990832244939,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3150,15745.0,7.892018280029297,5.1914482910174895,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3200,15995.0,7.760652008056641,4.94873155304116,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3250,16245.0,7.536891250610352,4.866509584922751,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3300,16495.0,7.36365608215332,4.774406152971491,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3350,16745.0,7.28984375,4.711591670479939,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3400,16995.0,7.234761581420899,4.634652855021471,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3450,17245.0,7.043144226074219,4.578722113531674,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3500,17495.0,6.9562615966796875,4.528856901892262,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3550,17745.0,6.8450689697265625,4.47942572197709,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3600,17995.0,6.67047004699707,4.292592923900195,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3650,18245.0,6.322725982666015,4.1292585192293165,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3700,18495.0,6.054617309570313,3.926400182091095,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3750,18745.0,5.639398345947265,3.8819248880861763,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3800,18995.0,5.126782531738281,3.4689192375941413,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3850,19245.0,4.939443588256836,3.3639579574517056,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3900,19495.0,4.594014129638672,3.2303072052898347,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,3950,19745.0,4.450304412841797,2.680490720223611,100
id_fixed_30,ID: fixed 30,oldest_first,Oldest first,4000,19995.0,4.4060275268554685,2.5285541652253767,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,50,245.0,7.731985168457031,0.35249921497411846,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,100,495.0,7.685802307128906,0.37859349235127354,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,150,745.0,7.464631042480469,0.39494480333816806,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,200,995.0,8.064120330810546,0.46873948860402376,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,250,1245.0,9.980326232910157,0.5780499558708013,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,300,1495.0,12.288273162841797,0.8584485913412653,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,350,1745.0,14.48769287109375,1.2439491829388996,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,400,1995.0,16.622807922363283,1.408111940562247,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,450,2245.0,18.281925048828125,1.73474255825058,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,500,2495.0,19.584727478027343,1.941936051219447,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,550,2745.0,20.698387451171875,2.4107200945559035,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,600,2995.0,21.7597265625,2.405152575120127,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,650,3245.0,22.287654724121094,2.4058598758266703,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,700,3495.0,22.568407287597655,2.960483609857369,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,750,3745.0,22.744637145996094,3.3944227929023003,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,800,3995.0,22.344439697265624,3.509554337306964,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,850,4245.0,21.686986389160158,3.4517845629300377,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,900,4495.0,21.08033142089844,3.3792245316169733,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,950,4745.0,20.179270935058593,3.574066764966343,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1000,4995.0,18.961066589355468,3.651719907963268,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1050,5245.0,17.678165893554688,3.9292453721608247,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1100,5495.0,16.248765869140627,4.052766622958093,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1150,5745.0,14.82469512939453,3.808238687192685,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1200,5995.0,13.632969207763672,3.632328219614977,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1250,6245.0,12.580040588378907,3.5400816945537135,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1300,6495.0,11.81995834350586,3.5070960142400858,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1350,6745.0,11.048936309814453,3.422052018221493,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1400,6995.0,10.217120819091797,3.5569932810288103,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1450,7245.0,9.63583465576172,3.4743493037513757,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1500,7495.0,9.01501007080078,3.478114108181671,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1550,7745.0,8.663128356933594,3.729496131847427,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1600,7995.0,8.303411712646485,3.7433004183583836,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1650,8245.0,7.907615356445312,3.96899570037906,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1700,8495.0,7.728256072998047,4.294752440394018,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1750,8745.0,7.618818664550782,4.494897604621109,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1800,8995.0,7.483118896484375,4.499347765126322,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1850,9245.0,7.487582626342774,4.601335331576229,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1900,9495.0,7.412192687988282,4.939700930590041,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,1950,9745.0,7.2005948638916015,4.595427907600059,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2000,9995.0,6.889229583740234,4.713107863993306,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2050,10245.0,6.698168106079102,4.684766320509789,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2100,10495.0,6.484850769042969,4.619877962986821,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2150,10745.0,6.340017700195313,4.733149609329509,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2200,10995.0,6.161279220581054,4.816811120637334,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2250,11245.0,5.847788848876953,4.561424729119084,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2300,11495.0,5.53251708984375,4.337740800367489,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2350,11745.0,5.388163986206055,4.387378861768994,100
