hour,sim_time_s,episode_id,reset_seed,vector_env_index,rso_id,u_total_km
0,0,10,30000,10,27,7.246481418609619
0,0,10,30000,10,28,9.153032302856445
0,0,10,30000,10,29,9.339433670043945
0,0,11,30000,11,0,7.976193428039551
0,0,11,30000,11,1,7.970585346221924
0,0,11,30000,11,2,8.842713356018066
0,0,11,30000,11,3,6.990066051483154
0,0,11,30000,11,4,9.494141578674316
0,0,11,30000,11,5,8.143129348754883
0,0,11,30000,11,6,9.58810043334961
0,0,11,30000,11,7,9.329309463500977
0,0,11,30000,11,8,6.95522403717041
0,0,11,30000,11,9,7.472497463226318
0,0,11,30000,11,10,8.086492538452148
0,0,11,30000,11,11,8.13988208770752
0,0,11,30000,11,12,9.050411224365234
0,0,11,30000,11,13,8.743837356567383
0,0,11,30000,11,14,8.44931411743164
0,0,11,30000,11,15,8.574975967407227
0,0,11,30000,11,16,9.35175609588623
0,0,11,30000,11,17,6.2722673416137695
0,0,11,30000,11,18,9.643529891967773
0,0,11,30000,11,19,7.75634241104126
0,0,11,30000,11,20,6.447381496429443
0,0,11,30000,11,21,7.206918716430664
0,0,11,30000,11,22,8.45789909362793
0,0,11,30000,11,23,6.788091659545898
0,0,11,30000,11,24,8.401440620422363
0,0,11,30000,11,25,8.642383575439453
0,0,11,30000,11,26,8.621223449707031
0,0,11,30000,11,27,7.82736873626709
0,0,11,30000,11,28,8.116466522216797
0,0,11,30000,11,29,8.691577911376953
0,0,12,30000,12,0,6.987485408782959
0,0,12,30000,12,1,7.283601760864258
0,0,12,30000,12,2,8.652081489562988
0,0,12,30000,12,3,6.733086109161377
0,0,12,30000,12,4,6.668229579925537
0,0,12,30000,12,5,6.25002384185791
0,0,12,30000,12,6,8.758225440979004
0,0,12,30000,12,7,8.472219467163086
0,0,12,30000,12,8,7.043447971343994
0,0,12,30000,12,9,9.055312156677246
0,0,12,30000,12,10,7.125714302062988
0,0,12,30000,12,11,7.8942413330078125
0,0,12,30000,12,12,6.312106132507324
0,0,12,30000,12,13,8.647222518920898
0,0,12,30000,12,14,8.028253555297852
0,0,12,30000,12,15,9.865413665771484
0,0,12,30000,12,16,9.727158546447754
0,0,12,30000,12,17,7.413374900817871
0,0,12,30000,12,18,6.147097110748291
0,0,12,30000,12,19,8.53925895690918
0,0,12,30000,12,20,6.985994338989258
0,0,12,30000,12,21,6.177341461181641
0,0,12,30000,12,22,7.645078659057617
0,0,12,30000,12,23,8.129998207092285
0,0,12,30000,12,24,6.456194877624512
0,0,12,30000,12,25,8.913752555847168
0,0,12,30000,12,26,8.359731674194336
0,0,12,30000,12,27,7.673060417175293
0,0,12,30000,12,28,8.296192169189453
0,0,12,30000,12,29,8.67679214477539
0,0,13,30000,13,0,7.113077163696289
0,0,13,30000,13,1,7.822271823883057
0,0,13,30000,13,2,7.3663716316223145
0,0,13,30000,13,3,6.171337604522705
0,0,13,30000,13,4,7.810647964477539
