scenario,scenario_label,scenario_group,method,method_label,episode_id,reset_seed,vector_env_index,num_rso,mean_uncertainty,max_uncertainty,p90_uncertainty,p95_uncertainty,p99_uncertainty,custody,fine_custody,mean_age,episode_return
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,10,30000,10,30,25.48453712463379,104.49697875976562,102.06388626098632,102.57864990234376,103.98504486083985,0.5333333333333333,0.03333333333333333,6146.33349609375,-744.6714771091938
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,11,30000,11,30,43.557701110839844,119.12339782714844,108.62649307250976,109.02252731323242,116.25035301208497,0.5666666666666667,0.03333333333333333,9752.5810546875,-767.4486993029714
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,12,30000,12,30,34.849143981933594,113.85807800292969,106.69623489379883,107.33085441589355,111.99127380371094,0.6,0.03333333333333333,7332.77001953125,-711.8970576375723
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,13,30000,13,30,26.13825225830078,109.47349548339844,106.64709091186523,108.5924789428711,109.24218269348144,0.5666666666666667,0.0,7286.0439453125,-726.1377969607711
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,14,30000,14,30,38.873069763183594,119.2962646484375,107.5079444885254,111.87356719970701,118.12976425170899,0.43333333333333335,0.03333333333333333,9454.904296875,-749.2292192950845
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,15,30000,15,30,35.71087646484375,115.31654357910156,107.90563735961913,108.54986228942872,113.36643341064453,0.5666666666666667,0.0,8266.7607421875,-763.8283621296287
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,16,30000,16,30,24.67867660522461,115.37651824951172,108.25390319824218,108.73739280700684,113.50141265869141,0.7,0.0,7742.97314453125,-726.8067511096597
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,17,30000,17,30,31.198801040649414,110.64974212646484,106.89896774291992,107.45110702514648,109.75404808044433,0.5333333333333333,0.03333333333333333,8169.4287109375,-748.8247712478042
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,18,30000,18,30,41.76545333862305,119.50350952148438,109.4064697265625,117.02030029296874,119.40443267822266,0.5666666666666667,0.03333333333333333,8197.0830078125,-753.3168497979641
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,19,30000,19,30,28.443395614624023,108.11424255371094,106.72840118408203,107.15297737121583,107.84827056884765,0.5,0.0,7907.6708984375,-721.8720411509275
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,20,30001,0,30,33.40248489379883,114.10881805419922,100.37851943969727,107.74533691406249,112.34602241516114,0.6333333333333333,0.06666666666666667,5559.14208984375,-742.640086658299
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,21,30001,1,30,38.86182403564453,119.68815612792969,107.31089706420899,114.17459487915036,119.4519204711914,0.5,0.03333333333333333,6526.833984375,-758.2750139907002
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,22,30001,2,30,33.54904556274414,120.39186096191406,104.94019622802735,107.99451141357422,117.04284240722657,0.5666666666666667,0.03333333333333333,7326.33935546875,-757.2496315911412
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,23,30001,3,30,31.126821517944336,108.31451416015625,107.16006546020508,107.81139602661133,108.21308097839355,0.6,0.13333333333333333,9380.619140625,-705.5172127559781
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,24,30001,4,30,23.864665985107422,108.464111328125,88.33221206665041,104.74565124511716,108.45435409545898,0.5333333333333333,0.03333333333333333,7276.265625,-727.218701004982
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,25,30001,5,30,25.381858825683594,114.43206024169922,107.04009399414063,108.49172897338867,112.74223808288575,0.5333333333333333,0.1,6566.02099609375,-720.5927699655294
