representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
recurrent,id,2,2.75,2.4122348,0.32607624,-2.8102255,-1.7231275,-4.507587,0.23333333333333334,0.13025425,0.21680112765231815,0.9333333333333333,1.0,0.06666666666666665,inclination_150,inclination_150,True,False,False,0.881578947368421
recurrent,catalogue_120,2,2.75,5.955114,2.7526488,10.408013,1.2641273,11.35625,0.6,0.02321738,0.1360297071896708,0.2,0.7333333333333333,0.5333333333333332,catalogue_120,id,False,False,True,0.8799342105263158
encoder,catalogue_120,4,3.555555555555556,2.5904205,5.0977015,10.042638,2.1938045,10.931283,0.4666666666666667,0.022733394,0.12374434200479069,0.2,0.7333333333333333,0.5333333333333332,catalogue_120,id,False,False,True,0.8799342105263158
recurrent,id,3,1.805555555555556,6.4867163,3.596936,10.249105,1.5916735,12.483849,0.2,0.0036777535,0.12139258972647929,0.2,0.7333333333333333,0.5333333333333332,id,catalogue_120,False,False,True,0.8799342105263158
recurrent,catalogue_120,6,4.944444444444445,1.7382056,7.8314276,10.106761,1.6660068,7.8794856,0.5,0.026977897,0.32863721168458665,0.2,0.7333333333333333,0.5333333333333332,catalogue_120,id,False,False,True,0.8799342105263158
recurrent,id,2,2.833333333333333,1.4335431,9.231456,9.345084,2.7950459,6.7517333,0.3333333333333333,0.12901917,0.23166466279243958,0.13333333333333333,0.06666666666666667,-0.06666666666666667,id,id,True,False,False,0.8782894736842105
recurrent,inclination_150,2,4.388888888888889,1.632722,8.078104,9.653465,1.9555887,7.7992644,0.23333333333333334,0.12872352,0.20438934989664723,0.9333333333333333,1.0,0.06666666666666665,id,id,True,False,False,0.875
recurrent,catalogue_120,2,5.027777777777778,2.4634938,-4.7777762,12.022881,-1.4404942,11.729693,0.5,0.12778883,0.24354702073225887,0.3333333333333333,0.8,0.46666666666666673,catalogue_120,id,True,False,True,0.8717105263157895
recurrent,catalogue_120,4,3.333333333333333,2.2385042,4.2331014,13.070778,-2.2566595,9.317098,0.8333333333333334,0.12668595,0.18624165851724458,0.0,0.0,0.0,catalogue_120,catalogue_120,True,False,False,0.868421052631579
recurrent,id,5,1.7222222222222223,12.351392,3.2358603,10.58036,0.6881448,13.831004,0.23333333333333334,0.010773981,0.12075455802258403,0.3333333333333333,0.8,0.46666666666666673,id,catalogue_120,False,False,True,0.8651315789473685
recurrent,id,1,0.7222222222222222,14.566875,-0.62412155,15.273775,-5.919578,11.535436,0.2,0.0134058595,0.2554609977586042,0.3333333333333333,0.8,0.46666666666666673,id,catalogue_120,False,False,True,0.8651315789473685
encoder,catalogue_120,0,5.138888888888889,1.96111,4.2979245,12.795623,-0.23932122,9.055896,0.4666666666666667,0.12616979,0.15580205899146238,0.0,0.06666666666666667,0.06666666666666667,catalogue_120,catalogue_120,True,False,False,0.8651315789473685
recurrent,catalogue_120,0,5.083333333333333,2.870641,-5.762945,12.910801,-7.7825427,2.3115969,0.43333333333333335,0.065651916,0.19635400681816778,0.3333333333333333,0.8,0.46666666666666673,catalogue_120,inclination_150,False,False,True,0.8651315789473685
encoder,catalogue_120,0,2.611111111111111,8.69209,-5.512086,12.569577,-7.657178,2.332145,0.5666666666666667,0.024686981,0.2431643454946333,0.3333333333333333,0.8,0.46666666666666673,catalogue_120,inclination_150,False,False,True,0.8651315789473685
recurrent,inclination_150,5,5.111111111111111,1.0093286,7.484267,-3.079101,6.815058,-4.7900043,0.2,0.12548797,0.10745089277673901,0.0,0.0,0.0,inclination_150,inclination_150,True,False,False,0.8618421052631579
encoder,inclination_150,2,4.333333333333333,2.9657063,0.92762285,8.79118,2.708226,10.354209,0.2,0.12484401,0.21758037339650646,1.0,1.0,0.0,id,id,True,False,False,0.8585526315789473
recurrent,id,3,3.4444444444444446,1.0654768,11.005358,11.505588,4.6762524,6.989177,0.2,0.12415709,0.07802917954844897,0.0,0.0,0.0,id,id,True,False,False,0.8552631578947368
encoder,catalogue_120,2,2.7222222222222223,5.9389243,0.29783025,14.024668,-1.4269192,9.660289,0.5666666666666667,0.12267169,0.23729780660306252,0.26666666666666666,0.6666666666666666,0.39999999999999997,catalogue_120,id,True,False,True,0.8519736842105263
recurrent,id,1,2.9722222222222223,1.1489389,9.466358,9.412455,2.925996,6.603712,0.1,0.12262788,0.18932136057782484,0.2,0.06666666666666667,-0.13333333333333336,id,id,True,False,False,0.8486842105263158
recurrent,id,4,3.0,1.1758687,9.446671,9.433913,2.9512637,6.5934844,0.16666666666666666,0.12033485,0.18936132119229182,0.06666666666666667,0.06666666666666667,0.0,id,id,True,False,False,0.8453947368421053
encoder,id,2,2.7777777777777777,2.8912606,-3.6275432,10.610459,-0.9758179,11.921455,0.26666666666666666,0.118785284,0.07704094423101458,0.3333333333333333,0.0,-0.3333333333333333,id,id,True,False,False,0.8421052631578947
recurrent,catalogue_120,5,3.6944444444444446,3.0930486,-1.023101,15.6919775,-3.7452624,9.308189,0.5333333333333333,0.11733155,0.18580164101574012,0.2,0.13333333333333333,-0.06666666666666668,catalogue_120,catalogue_120,True,False,False,0.8388157894736842
recurrent,catalogue_120,5,5.055555555555555,1.2355372,8.933385,9.559802,2.394517,7.179797,0.6,0.11696932,0.14858572950523113,0.5333333333333333,0.6666666666666666,0.1333333333333333,id,id,True,False,False,0.8355263157894737
encoder,catalogue_120,0,5.527777777777778,1.9026695,6.6337867,10.852777,-1.8845592,8.969853,0.5666666666666667,0.11688798,0.16925746927330357,0.06666666666666667,0.0,-0.06666666666666667,catalogue_120,catalogue_120,True,False,False,0.8322368421052632
encoder,catalogue_120,5,5.055555555555555,1.2355372,8.933385,9.559802,2.394517,7.179797,0.6,0.11646292,0.24770754822000327,0.6666666666666666,0.8,0.13333333333333341,id,id,True,False,False,0.8289473684210527
encoder,catalogue_120,6,4.972222222222222,1.719724,10.896615,11.177567,3.296939,7.4154944,0.6333333333333333,0.07960005,0.15637941235185163,0.4666666666666667,0.9333333333333333,0.4666666666666667,catalogue_120,id,False,False,True,0.8256578947368421
recurrent,catalogue_120,7,2.7777777777777777,21.44156,-4.423185,12.449433,-5.5408435,3.5124087,0.7333333333333333,0.034007475,0.17123062917965504,0.13333333333333333,0.6,0.4666666666666667,catalogue_120,inclination_150,False,False,True,0.8256578947368421
recurrent,catalogue_120,0,3.638888888888889,5.980225,-3.8780437,11.856449,-1.17331,13.502741,0.5666666666666667,0.018822582,0.5258119777676921,0.13333333333333333,0.6,0.4666666666666667,catalogue_120,id,False,True,True,0.8256578947368421
recurrent,id,6,2.333333333333333,3.2944236,5.151844,9.353695,1.7316707,9.677663,0.16666666666666666,0.0047328034,0.14701967755465006,0.13333333333333333,0.6,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,id,3,0.6666666666666666,19.187565,-0.19181219,13.52277,-3.6588328,13.789673,0.1,0.018209295,0.12492602068908552,0.4,0.8666666666666667,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,catalogue_120,5,4.361111111111111,2.7754033,5.3481717,10.306198,1.9111418,10.388513,0.36666666666666664,0.00438298,0.09957182974638333,0.06666666666666667,0.5333333333333333,0.4666666666666667,catalogue_120,id,False,False,True,0.8256578947368421
recurrent,id,0,0.4444444444444444,11.844868,0.7254855,10.843366,-0.58738464,13.495862,0.13333333333333333,0.01505514,0.24671555264671483,0.06666666666666667,0.5333333333333333,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,catalogue_120,6,2.138888888888889,7.7102947,-5.1706004,11.99444,-5.597843,3.086979,0.4666666666666667,0.064660035,0.09522511390872883,0.4,0.8666666666666667,0.4666666666666667,catalogue_120,inclination_150,False,False,True,0.8256578947368421
recurrent,catalogue_120,5,4.666666666666667,2.5444324,7.33659,10.315948,1.3988417,8.680294,0.6666666666666666,0.009591663,0.09950072379525826,0.13333333333333333,0.6,0.4666666666666667,catalogue_120,id,False,False,True,0.8256578947368421
recurrent,id,5,0.4722222222222222,11.684332,0.4517861,13.293635,-2.4111674,15.195333,0.06666666666666667,0.01067125,0.13771909540178873,0.13333333333333333,0.6,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,id,1,1.1388888888888888,17.730692,-0.08019222,13.390202,-3.0301707,14.740546,0.1,0.01598109,0.3774320179202796,0.06666666666666667,0.5333333333333333,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
encoder,id,4,1.2222222222222223,18.664364,0.3467698,14.994591,-5.1724787,13.530656,0.16666666666666666,0.00511597,0.19413041401688796,0.4,0.8666666666666667,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
encoder,id,5,0.5555555555555556,14.137406,0.033011686,13.884451,-4.170435,13.750157,0.06666666666666667,0.015474808,0.26440752604590545,0.06666666666666667,0.5333333333333333,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,id,1,1.9166666666666667,6.813325,3.559803,10.236402,1.5210174,12.599756,0.13333333333333333,0.0035554925,0.18036409826316915,0.13333333333333333,0.6,0.4666666666666667,id,catalogue_120,False,False,True,0.8256578947368421
recurrent,catalogue_120,5,5.166666666666667,1.2199857,8.215494,9.949565,1.9030445,7.65594,0.6,0.041493304,0.17841988529937583,0.4,0.8666666666666667,0.4666666666666667,catalogue_120,id,False,False,True,0.8256578947368421
