scenario,head,candidate_rank,attention_mean,ci95,n
catalogue_120,2,24,0.04363586,0.001005971,1600
catalogue_120,2,25,0.0427061,0.0009299732,1600
catalogue_120,2,26,0.04124568,0.0008886432,1600
catalogue_120,2,27,0.040261615,0.00087199005,1600
catalogue_120,2,28,0.03878525,0.0008042643,1600
catalogue_120,2,29,0.038132645,0.00080631085,1600
catalogue_120,2,30,0.037467588,0.0008042356,1600
catalogue_120,3,1,0.045968596,0.0043934477,1600
catalogue_120,3,2,0.023246553,0.0021580164,1600
catalogue_120,3,3,0.016441986,0.0016005781,1600
catalogue_120,3,4,0.013435614,0.0018247545,1600
catalogue_120,3,5,0.010270646,0.0019603956,1600
catalogue_120,3,6,0.009563906,0.0025279033,1600
catalogue_120,3,7,0.010416567,0.0032809328,1600
catalogue_120,3,8,0.007602506,0.0025510385,1600
catalogue_120,3,9,0.0071641584,0.0021058456,1600
catalogue_120,3,10,0.008333888,0.0024467944,1600
catalogue_120,3,11,0.01377976,0.0037471435,1600
catalogue_120,3,12,0.021388678,0.004850772,1600
catalogue_120,3,13,0.023933377,0.0046004597,1600
catalogue_120,3,14,0.026089072,0.004236177,1600
catalogue_120,3,15,0.03278612,0.0049640327,1600
catalogue_120,3,16,0.045425206,0.005672315,1600
catalogue_120,3,17,0.05239527,0.0059058038,1600
catalogue_120,3,18,0.06097349,0.0064237416,1600
catalogue_120,3,19,0.056925043,0.0050474224,1600
catalogue_120,3,20,0.05898108,0.0051729763,1600
catalogue_120,3,21,0.059387922,0.004854536,1600
catalogue_120,3,22,0.055523023,0.0041467673,1600
catalogue_120,3,23,0.052735705,0.0036180846,1600
catalogue_120,3,24,0.048474588,0.0033239059,1600
catalogue_120,3,25,0.047475267,0.0032724452,1600
catalogue_120,3,26,0.041465133,0.0026668091,1600
catalogue_120,3,27,0.04088058,0.0027890974,1600
catalogue_120,3,28,0.037223857,0.0023923253,1600
catalogue_120,3,29,0.035588685,0.0022357507,1600
catalogue_120,3,30,0.036123563,0.0025481603,1600
catalogue_120,4,1,0.038623046,0.0053982893,1600
catalogue_120,4,2,0.017180623,0.0032807507,1600
catalogue_120,4,3,0.011532572,0.002011349,1600
catalogue_120,4,4,0.009014068,0.0024016134,1600
catalogue_120,4,5,0.0066720783,0.0023764027,1600
catalogue_120,4,6,0.0080484245,0.0034743403,1600
catalogue_120,4,7,0.008759038,0.0038011323,1600
catalogue_120,4,8,0.005690342,0.002797744,1600
catalogue_120,4,9,0.005933931,0.0027296816,1600
catalogue_120,4,10,0.007626293,0.003088472,1600
catalogue_120,4,11,0.014278058,0.004605588,1600
catalogue_120,4,12,0.02418645,0.0061080325,1600
catalogue_120,4,13,0.02686468,0.0060291393,1600
catalogue_120,4,14,0.028855998,0.0056861807,1600
catalogue_120,4,15,0.034413487,0.0061997017,1600
catalogue_120,4,16,0.047830638,0.007030486,1600
catalogue_120,4,17,0.055383373,0.007454456,1600
catalogue_120,4,18,0.06353263,0.007849386,1600
catalogue_120,4,19,0.057433777,0.0066749924,1600
catalogue_120,4,20,0.06227498,0.006943165,1600
catalogue_120,4,21,0.06367023,0.007009012,1600
catalogue_120,4,22,0.05956388,0.006538783,1600
catalogue_120,4,23,0.05436027,0.0056113796,1600
catalogue_120,4,24,0.048563886,0.0052537015,1600
catalogue_120,4,25,0.050617132,0.0055025006,1600
catalogue_120,4,26,0.03994102,0.0041699344,1600
catalogue_120,4,27,0.04124149,0.004502249,1600
catalogue_120,4,28,0.036501795,0.003953445,1600
catalogue_120,4,29,0.033824183,0.0036032454,1600
catalogue_120,4,30,0.03758074,0.0045272494,1600
inclination_150,1,1,0.03102696,0.0005155032,1600
inclination_150,1,2,0.031342212,0.00053041684,1600
inclination_150,1,3,0.036537386,0.0012138223,1600
inclination_150,1,4,0.035310153,0.0011013879,1600
inclination_150,1,5,0.0357976,0.00073635124,1600
inclination_150,1,6,0.034515183,0.0007321207,1600
inclination_150,1,7,0.031006753,0.00051510864,1600
inclination_150,1,8,0.03800094,0.0013200628,1600
inclination_150,1,9,0.030967033,0.0005742372,1600
inclination_150,1,10,0.032563988,0.0005588588,1600
inclination_150,1,11,0.037198223,0.0013797022,1600
inclination_150,1,12,0.030969134,0.000624089,1600
inclination_150,1,13,0.029561529,0.0005442294,1600
inclination_150,1,14,0.03319623,0.00062625005,1600
inclination_150,1,15,0.03451653,0.0006320508,1600
inclination_150,1,16,0.02922034,0.0005036759,1600
inclination_150,1,17,0.038394466,0.0011593592,1600
inclination_150,1,18,0.029725056,0.00058369903,1600
inclination_150,1,19,0.035776924,0.000985666,1600
inclination_150,1,20,0.0351919,0.0005647981,1600
inclination_150,1,21,0.03072008,0.0006268186,1600
inclination_150,1,22,0.028239738,0.000501041,1600
inclination_150,1,23,0.036027644,0.0005584741,1600
inclination_150,1,24,0.031031983,0.0005559546,1600
inclination_150,1,25,0.030402107,0.00051017106,1600
inclination_150,1,26,0.040318627,0.0011864052,1600
inclination_150,1,27,0.035030097,0.0008197626,1600
inclination_150,1,28,0.029995628,0.0005264393,1600
inclination_150,1,29,0.032875143,0.0005346086,1600
inclination_150,1,30,0.034540426,0.0006823461,1600
inclination_150,2,1,0.029901184,0.0005722907,1600
inclination_150,2,2,0.030775374,0.0006188603,1600
inclination_150,2,3,0.038290843,0.0015534766,1600
inclination_150,2,4,0.03561931,0.0013773362,1600
inclination_150,2,5,0.036444344,0.0010165524,1600
inclination_150,2,6,0.035547845,0.00097704,1600
inclination_150,2,7,0.030153293,0.00058310624,1600
inclination_150,2,8,0.03943707,0.001670243,1600
inclination_150,2,9,0.029934818,0.00062322273,1600
inclination_150,2,10,0.031948525,0.0006746565,1600
inclination_150,2,11,0.038950432,0.0018335546,1600
inclination_150,2,12,0.03056229,0.00079300476,1600
inclination_150,2,13,0.028885297,0.0006330769,1600
inclination_150,2,14,0.032916114,0.00073354907,1600
inclination_150,2,15,0.03492572,0.00078406016,1600
inclination_150,2,16,0.028025888,0.0005645937,1600
inclination_150,2,17,0.04055319,0.0015942974,1600
inclination_150,2,18,0.028514588,0.00065168075,1600
inclination_150,2,19,0.036164116,0.0011714032,1600
inclination_150,2,20,0.035697743,0.0006694584,1600
inclination_150,2,21,0.029642312,0.00070522487,1600
inclination_150,2,22,0.026095977,0.00055153354,1600
inclination_150,2,23,0.036702815,0.00068336236,1600
inclination_150,2,24,0.029265601,0.00059734244,1600
inclination_150,2,25,0.028364308,0.00054319395,1600
inclination_150,2,26,0.04326349,0.0016162666,1600
inclination_150,2,27,0.03710391,0.0012105018,1600
inclination_150,2,28,0.028661024,0.0005541019,1600
inclination_150,2,29,0.032897,0.00065096276,1600
inclination_150,2,30,0.034755517,0.00083743886,1600
inclination_150,3,1,0.017394375,0.0012452949,1600
