scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
catalogue_120,5,1.8055555555555556,14.706777,1.4733616,15.323101,-4.905669,14.839955
catalogue_120,6,1.8055555555555556,10.750953,0.7770865,16.112967,-6.291706,13.003149
catalogue_120,7,1.8055555555555556,16.64594,1.4831606,15.323916,-4.8228683,14.902457
catalogue_120,4,1.8333333333333333,11.590946,0.78142154,16.237339,-6.3363643,13.038987
catalogue_120,5,1.8333333333333333,14.781766,0.80214554,16.254185,-6.726344,12.786614
catalogue_120,6,1.8333333333333333,10.690767,-1.2454515,16.465006,-6.5778832,10.551616
catalogue_120,7,1.8333333333333333,16.733545,1.4431467,15.37788,-4.9431643,14.817023
catalogue_120,4,1.8611111111111112,11.05802,1.0248252,14.940482,-4.4768834,14.892557
catalogue_120,5,1.8611111111111112,12.740267,-1.0134032,17.035257,-7.169283,10.008362
catalogue_120,6,1.8611111111111112,10.7374735,1.0224764,15.998919,-6.274438,13.080308
catalogue_120,7,1.8611111111111112,16.46294,1.1323214,15.931486,-5.635182,14.155202
catalogue_120,4,1.8888888888888888,11.142314,0.7971589,14.824449,-3.9589844,14.989396
catalogue_120,5,1.8888888888888888,11.489565,-1.3585659,16.740839,-6.480433,9.57634
catalogue_120,6,1.8888888888888888,10.041853,1.3373879,15.297098,-5.356998,14.182959
catalogue_120,7,1.8888888888888888,16.115992,1.2566174,15.700689,-5.5640683,14.159666
catalogue_120,4,1.9166666666666667,11.129919,-0.37882227,16.470383,-7.0184665,10.932791
catalogue_120,5,1.9166666666666667,11.531909,-1.2426548,16.919394,-6.8315554,9.822455
catalogue_120,6,1.9166666666666667,9.612591,0.4040323,15.892745,-6.5449347,12.206985
catalogue_120,7,1.9166666666666667,15.949978,1.4980397,15.313778,-4.852171,14.951551
catalogue_120,4,1.9444444444444444,10.800201,0.86511075,15.798971,-6.2699003,13.017617
catalogue_120,5,1.9444444444444444,11.314319,-0.95834184,17.014109,-7.309653,10.249219
catalogue_120,6,1.9444444444444444,9.137068,-1.6160805,15.807842,-6.1872754,9.885217
catalogue_120,7,1.9444444444444444,16.073574,1.4610298,15.363565,-4.9007187,14.916544
catalogue_120,4,1.9722222222222223,10.57596,0.29936746,15.9988785,-6.541897,12.201568
catalogue_120,5,1.9722222222222223,10.757766,-1.1966788,16.8921,-6.470801,9.587103
catalogue_120,6,1.9722222222222223,9.222689,-1.4972801,15.676326,-6.1504498,10.387752
catalogue_120,7,1.9722222222222223,16.212648,1.4976754,15.316539,-4.8635697,14.950155
catalogue_120,4,2.0,10.094222,-1.3312387,16.33728,-6.574275,9.907501
catalogue_120,5,2.0,10.403414,-0.4225417,17.174477,-7.9926353,10.479627
catalogue_120,6,2.0,9.155047,-5.412782,2.6016753,-5.7484593,3.1829967
catalogue_120,7,2.0,16.37007,1.4885904,15.397956,-4.866323,14.934116
catalogue_120,4,2.0277777777777777,9.251535,-1.2486476,16.653093,-6.433058,9.590657
catalogue_120,5,2.0277777777777777,10.475559,-0.28224254,17.150024,-8.010353,10.566684
catalogue_120,6,2.0277777777777777,9.186102,0.6223686,11.306021,-1.875324,13.756734
catalogue_120,7,2.0277777777777777,16.562365,1.3036518,15.674699,-5.432816,14.44057
catalogue_120,4,2.0555555555555554,9.235158,-0.4072074,16.950169,-7.3761535,10.624651
catalogue_120,5,2.0555555555555554,10.3513,-0.7670727,17.16562,-7.5189567,10.105572
catalogue_120,6,2.0555555555555554,9.216687,-0.018022787,13.608576,-2.2622867,15.049463
catalogue_120,7,2.0555555555555554,16.65696,1.166606,15.795915,-5.587976,14.256977
catalogue_120,4,2.0833333333333335,8.336938,0.24911113,15.251029,-5.117195,13.447726
catalogue_120,5,2.0833333333333335,9.968283,-0.64916426,17.23342,-7.814048,10.251418
catalogue_120,6,2.0833333333333335,8.736613,1.4945223,14.950419,-3.3605876,15.594782
catalogue_120,7,2.0833333333333335,16.92257,1.1298627,15.823017,-5.603756,14.219768
catalogue_120,4,2.111111111111111,8.2029705,0.0827724,15.725054,-6.032025,11.883783
catalogue_120,5,2.111111111111111,9.879985,-1.2446833,16.833515,-6.3982906,9.572495
catalogue_120,6,2.111111111111111,8.598334,0.64784354,15.651574,-5.539792,13.630905
catalogue_120,7,2.111111111111111,17.172075,1.0781043,15.863982,-5.6476054,14.118624
catalogue_120,4,2.138888888888889,8.098594,-0.8943632,15.956172,-6.060819,10.600849
catalogue_120,5,2.138888888888889,10.006027,-1.6239296,16.03101,-6.294588,9.938972
catalogue_120,6,2.138888888888889,7.7102947,-5.1706004,11.99444,-5.597843,3.086979
catalogue_120,7,2.138888888888889,17.240152,-4.914202,15.052342,-5.56551,14.152761
catalogue_120,4,2.1666666666666665,8.207816,-5.681715,13.613624,-6.055984,10.6413
catalogue_120,5,2.1666666666666665,9.68867,0.24456201,14.157409,-3.9079373,14.6025
catalogue_120,6,2.1666666666666665,7.7968545,-3.5042243,11.327568,-0.5151467,13.451092
catalogue_120,7,2.1666666666666665,17.504875,-4.9370403,15.070878,-5.596183,14.172685
catalogue_120,4,2.1944444444444446,8.172962,-5.8499336,13.712532,-6.1841197,10.637077
catalogue_120,5,2.1944444444444446,9.862001,0.6995654,13.699187,-2.4700017,15.474567
catalogue_120,6,2.1944444444444446,7.8927317,-0.914229,11.7696705,0.7533315,13.916995
catalogue_120,7,2.1944444444444446,17.82268,-4.945458,15.051975,-5.667731,14.059759
catalogue_120,4,2.2222222222222223,7.982844,-4.4160857,14.4717045,-3.9764376,14.751037
catalogue_120,5,2.2222222222222223,9.159532,-0.08991443,13.223944,-2.350072,14.9557
catalogue_120,6,2.2222222222222223,8.001094,-1.7641433,12.000768,0.58083063,14.217399
catalogue_120,7,2.2222222222222223,18.286407,-4.6811957,14.7954855,-4.724097,14.5237255
catalogue_120,4,2.25,7.944548,-5.847815,13.683469,-6.2679877,10.704199
catalogue_120,5,2.25,8.051049,-4.0631347,13.404895,-2.3874273,14.946965
catalogue_120,6,2.25,8.117435,-4.6557894,14.860768,-2.6511538,15.486552
catalogue_120,7,2.25,17.96405,-4.559347,14.870448,-4.804893,14.766709
