representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id,1,0.3611111111111111,9.889029,0.9994837,10.200967,0.59698594,12.997263,0.1,0.016299792,0.11260439060481402,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,2,0.3611111111111111,10.019804,1.1485118,10.086365,0.102849364,12.627711,0.16666666666666666,0.009928016,0.12526857013919462,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,3,0.3611111111111111,9.652136,1.0693836,10.227415,-0.3169463,11.348894,0.1,0.011625993,0.07905615031585886,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.3888888888888889,9.829367,1.040084,10.172724,0.013791998,12.965095,0.1,0.010154323,0.10015012528370322,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.3888888888888889,10.936057,0.84612,10.520026,0.5633476,13.234815,0.1,0.020239346,0.19669875616721866,0.06666666666666667,0.06666666666666667,0.0,id,id,False,False,False
encoder,id,2,0.3888888888888889,10.702853,1.0201191,10.228498,0.121925235,12.981572,0.2,0.009778682,0.09355606752031123,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.3888888888888889,10.712133,0.978144,10.41049,-0.4363318,11.51991,0.03333333333333333,0.013752278,0.15062584944868548,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.4166666666666667,10.823645,0.9359232,10.439958,-0.3229505,13.217319,0.1,0.011690748,0.16036234170732985,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.4166666666666667,12.024256,0.4382532,10.661686,0.98868096,13.526883,0.06666666666666667,0.015960328,0.3878263188262473,0.0,0.0,0.0,id,id,False,True,False
encoder,id,2,0.4166666666666667,11.360394,0.88966906,10.381432,0.25359374,13.018209,0.2,0.011998399,0.16535734373699076,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,3,0.4166666666666667,11.804961,0.8923573,10.529041,-0.43195236,13.142245,0.03333333333333333,0.011215294,0.18767109982489327,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.4444444444444444,11.844868,0.7254855,10.843366,-0.58738464,13.495862,0.13333333333333333,0.013859633,0.22544514914521746,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.4444444444444444,12.61615,0.83490735,10.637392,-0.5432818,13.221122,0.06666666666666667,0.010176595,0.21796252002405436,0.0,0.0,0.0,id,id,False,False,False
encoder,id,2,0.4444444444444444,11.948355,-0.31455252,11.658684,0.528315,13.723925,0.16666666666666666,0.01710997,0.17359982426531204,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.4444444444444444,12.409018,0.84424645,10.666393,-1.6382632,13.458291,0.03333333333333333,0.012108294,0.22301886632774354,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.4722222222222222,12.887071,0.5753552,11.173681,-0.79926914,13.887564,0.13333333333333333,0.012042454,0.1199584283210269,0.06666666666666667,0.26666666666666666,0.2,id,id,False,False,False
encoder,id,1,0.4722222222222222,13.700385,0.72086847,10.912437,-1.6371047,13.757162,0.1,0.009863933,0.2076085332524239,0.0,0.0,0.0,id,id,False,False,False
encoder,id,2,0.4722222222222222,11.659072,-0.018417988,13.705012,-4.177839,13.661843,0.13333333333333333,0.03246844,0.2410328476124954,0.13333333333333333,0.5333333333333333,0.4,id,catalogue_120,False,False,True
encoder,id,3,0.4722222222222222,13.486637,0.7687357,10.817944,-1.894333,13.541179,0.03333333333333333,0.01192826,0.23660396612470233,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.5,12.764095,0.08415624,10.92928,-0.24542555,14.2007265,0.13333333333333333,0.008144263,0.17352581136307096,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.5,14.795302,0.60360354,11.152738,-1.5734619,13.839035,0.13333333333333333,0.0086429035,0.12443217163837711,0.0,0.26666666666666666,0.26666666666666666,id,id,False,False,False
encoder,id,2,0.5,12.629726,-0.25871053,11.628984,-1.3307258,14.515415,0.13333333333333333,0.016355697,0.16736513731913855,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
